PLCL1 DGKG
PLCL1 INPP5B
PLCL1 PLCZ1
PLCL1 PLCXD2
PLCL1 DGKD
PLCL1 PLCH2
PLCL1 INPP5A
PLCL1 PLCH1
PLCL1 ITPKC
PLCL1 DGKB
SORBS3 MAPK1
SORBS3 HNRNPUL1
SORBS3 HNRNPF
SORBS3 SOCS7
SORBS3 HGS
SORBS3 ALB
SORBS3 DDX17
SORBS3 ZBTB7B
SORBS3 CDK2
SORBS3 MAPK3
SORBS3 RAPGEF2
SORBS3 FASLG
SORBS3 CBLB
SORBS3 NCKIPSD
SORBS3 ABL1
SORBS3 HNRNPK
SORBS3 SH2D4A
SORBS3 WIPF2
SORBS3 USP2
SORBS3 VCL
SORBS3 DLG5
SORBS3 TRIM27
SORBS3 AKT2
SORBS3 VPS37C
SORBS3 VPS37B
SORBS3 FAM53C
SORBS3 PAK2
SORBS3 PAK5
SORBS3 NEK6
SORBS3 CCNH
SORBS3 ABI2
SORBS3 FLOT1
SORBS3 KIFC3
SORBS3 EIF3H
SORBS3 CCDC6
SORBS3 SRCIN1
SORBS3 TNS2
SORBS3 RIN1
SORBS3 ANKS1A
SORBS3 RUNX1T1
SORBS3 CCDC57
SORBS3 SAFB2
SORBS3 ROPN1
SORBS3 ZBED1
SORBS3 TRIM23
SORBS3 TXLNA
SORBS3 PHF1
SORBS3 GPKOW
SORBS3 PLEKHN1
SORBS3 TEAD4
SORBS3 RBMX
SORBS3 CPNE8
SORBS3 OSGIN1
SORBS3 C1orf109
SORBS3 EFHC1
SORBS3 CPNE2
SORBS3 RTKN
SORBS3 KIAA0408
SORBS3 VARS2
SORBS3 ADAMTSL4
SORBS3 DVL2
SORBS3 TRIM41
SORBS3 KIAA1217
SORBS3 DMRTB1
SORBS3 ZBTB25
SORBS3 EFS
SORBS3 ZC4H2
SORBS3 SAXO1
SORBS3 TBC1D22B
SORBS3 CPSF7
SORBS3 SORBS3
SORBS3 DIP2A
SORBS3 DVL3
SORBS3 PIBF1
SORBS3 TSGA10
SORBS3 GAS8
SORBS3 PPP1R18
SORBS3 CCHCR1
SORBS3 CHERP
SORBS3 CATSPER1
SORBS3 MKRN3
SORBS3 OIP5
SORBS3 POLR1C
SORBS3 GYS1
SORBS3 CCDC102B
SORBS3 KANK2
SORBS3 GPANK1
SORBS3 FAM214B
SORBS3 CBFA2T2
SORBS3 SPG21
SORBS3 CDC23
SORBS3 FBXL19
SORBS3 POLE2
SORBS3 COG4
SORBS3 PLOD3
SORBS3 DDX6
SORBS3 NRBP1
SORBS3 ZC2HC1C
SORBS3 CDKN2C
SORBS3 ENKD1
SORBS3 FNDC11
SORBS3 CRACR2A
SORBS3 ZNF414
SORBS3 AKIRIN2
SORBS3 NAF1
SORBS3 GLRA1
SORBS3 CCDC120
SORBS3 SCNM1
SORBS3 CCNL1
SORBS3 IQUB
SORBS3 GEM
SORBS3 SYNPO2L
SORBS3 NAB2
SORBS3 TEPSIN
SORBS3 NFKBID
SORBS3 SETD5
SORBS3 QARS1
SORBS3 TSGA10IP
SORBS3 TCEANC
SORBS3 PPFIA3
SORBS3 IMP3
SORBS3 PPIL6
SORBS3 RAD51D
SORBS3 INSC
SORBS3 PHETA1
SORBS3 PNMA5
SORBS3 NHSL2
SORBS3 ADAT3
SORBS3 CPNE1
SORBS3 CCDC187
SORBS3 MYO15B
SORBS3 CFAP206
FCGR2B MAPK1
FCGR2B PLCG1
FCGR2B PTPN11
FCGR2B SRC
FCGR2B BLK
FCGR2B SHC1
FCGR2B MAPK3
FCGR2B GRB2
FCGR2B FYN
FCGR2B PTPN6
FCGR2B CRK
FCGR2B INPP5D
FCGR2B NCK1
FCGR2B LYN
FCGR2B IGHG1
FCGR2B ERG28
FCGR2B CRP
FCGR2B IGHV4-31
FCGR2B APCS
FCGR2B LY6E
TRIM54 SDCBP
TRIM54 UBE2D2
TRIM54 LMO2
TRIM54 CYTH4
TRIM54 PARVG
TRIM54 XAF1
TRIM54 CMIP
SDCBP MAPK9
SDCBP CTNNB1
SDCBP SRC
SDCBP SIAH1
SDCBP UBC
SDCBP RNF11
SDCBP ARFIP2
SDCBP SET
SDCBP RRS1
SDCBP KCTD1
SDCBP PPARA
SDCBP SUB1
SDCBP REL
SDCBP CTBP2
SDCBP ZBTB8A
SDCBP CALM3
SDCBP CTNNA1
SDCBP TRAF6
SDCBP WASL
SDCBP HNRNPC
SDCBP PDCD6IP
SDCBP DNM2
SDCBP LDOC1
SDCBP SMARCA2
SDCBP CDKN2D
SDCBP UBE2K
SDCBP CLK2
SDCBP TNKS
SDCBP HUS1
SDCBP CDH1
SDCBP TCF4
SDCBP LDHB
SDCBP ELAVL1
SDCBP MRFAP1
SDCBP TRIM27
SDCBP OPTN
SDCBP FLAD1
SDCBP CEP55
SDCBP MTUS2
SDCBP NF2
SDCBP SNX1
SDCBP TLE5
SDCBP ABI2
SDCBP MRFAP1L1
SDCBP CRX
SDCBP TEKT1
SDCBP WASHC1
SDCBP FHL3
SDCBP DTNBP1
SDCBP CALM1
SDCBP PTPRJ
SDCBP CAV2
SDCBP TGFA
SDCBP RAB5A
SDCBP UBE2A
SDCBP RBM39
SDCBP FADD
SDCBP FTH1
SDCBP NECAB2
SDCBP PNMA1
SDCBP GRIK2
SDCBP GRIK1
SDCBP ULK1
SDCBP SDC2
SDCBP EFNB1
SDCBP IL5RA
SDCBP SOX4
SDCBP TDO2
SDCBP CBR3
SDCBP CDA
SDCBP CDC34
SDCBP CLK3
SDCBP CRYAA
SDCBP DCTD
SDCBP FTL
SDCBP HMGB3
SDCBP HOXA1
SDCBP HPRT1
SDCBP HSBP1
SDCBP KRTAP5-9
SDCBP LGALS2
SDCBP PSMC6
SDCBP RNH1
SDCBP SRSF7
SDCBP TRAF5
SDCBP SSNA1
SDCBP SRSF11
SDCBP PDE4DIP
SDCBP ANP32B
SDCBP PNMA2
SDCBP RUNDC3A
SDCBP LSM6
SDCBP MAPRE3
SDCBP TRIM32
SDCBP TNFAIP8
SDCBP OSTF1
SDCBP WASHC3
SDCBP CUTC
SDCBP ZCCHC17
SDCBP LZTFL1
SDCBP ROPN1
SDCBP KCTD9
SDCBP NKAPD1
SDCBP NAGK
SDCBP SEPTIN3
SDCBP EIF5A2
SDCBP HOMEZ
SDCBP KLHL12
SDCBP RIC8A
SDCBP CDCP1
SDCBP NADK
SDCBP PYCR3
SDCBP C11orf68
SDCBP EIF1AD
SDCBP TIFA
SDCBP REEP6
SDCBP CMTM5
SDCBP FAM9B
SDCBP KCTD6
SDCBP KHDRBS2
SDCBP GPATCH11
SDCBP INO80E
SDCBP SREK1IP1
SDCBP CT45A3
SDCBP TMEM239
SDCBP PSME2
SDCBP DRAP1
SDCBP RPL22
SDCBP RTN1
