FLNC PHLDB2
INSR PRKCG
INSR DOK5
INSR CALM2
INSR DOK4
INSR ARHGAP26
INSR MAD2L1
INSR CEACAM1
INSR AHSG
INSR FABP4
INSR SNX6
INSR PRKCH
INSR PTPRG
INSR PTPRO
INSR ACP1
INSR PTPRC
INSR KRT27
INSR BLVRA
INSR INS
INSR SORBS1
INSR INSRR
INSR SNX4
SORBS1 PTK2
SORBS1 SMAD2
SORBS1 CBL
SORBS1 ABL1
SORBS1 FRS2
SORBS1 SH2B2
SORBS1 ADAM15
SORBS1 PTK2B
SORBS1 MAP4K3
SORBS1 DNM2
SORBS1 PGR
SORBS1 VCL
SORBS1 PXN
SORBS1 PAK2
SORBS1 FLOT1
SORBS1 ACTA1
SORBS1 EFNB1
SORBS1 AFDN
SORBS1 INSM1
SORBS1 TENM1
SORBS1 EIF6
SORBS1 SEMA6A
SORBS1 RTN4IP1
PLCG2 BLNK
PLCG2 NBR1
PLCG2 NPM1
PLCG2 PLCG1
PLCG2 EGFR
PLCG2 JAK1
PLCG2 PTPN11
PLCG2 ERBB2
PLCG2 SRC
PLCG2 JAK2
PLCG2 BLK
PLCG2 SYK
PLCG2 PLD1
PLCG2 NTRK1
PLCG2 SHC1
PLCG2 GSN
PLCG2 CRYAB
PLCG2 MAPT
PLCG2 KDR
PLCG2 SH3KBP1
PLCG2 ZBTB7B
PLCG2 PRKCA
PLCG2 FHL2
PLCG2 GRB2
PLCG2 FYN
PLCG2 PIK3R1
PLCG2 MED28
PLCG2 GAB2
PLCG2 KHDRBS1
PLCG2 PTPN6
PLCG2 GAB1
PLCG2 CBLB
PLCG2 NCKIPSD
PLCG2 LCP2
PLCG2 VAV1
PLCG2 EPOR
PLCG2 ITK
PLCG2 LAT2
PLCG2 SPRY2
PLCG2 SOS2
PLCG2 INPP5D
PLCG2 PLXNB1
PLCG2 BTK
PLCG2 PDCD6IP
PLCG2 ERRFI1
PLCG2 FN1
PLCG2 SYNJ1
PLCG2 TRIM27
PLCG2 EPB41L2
PLCG2 SPTBN1
PLCG2 NDC80
PLCG2 REPS1
PLCG2 RAD54B
PLCG2 PSMD3
PLCG2 LYN
PLCG2 LCK
PLCG2 DGKG
PLCG2 PLCB3
PLCG2 ZNF512B
PLCG2 FCGR1A
PLCG2 INPP5B
PLCG2 PLCB2
PLCG2 PRKD1
PLCG2 IPMK
PLCG2 DVL2
PLCG2 ITPKB
PLCG2 CD19
PLCG2 DGKE
PLCG2 IMPA1
PLCG2 FCER1G
PLCG2 TOX4
PLCG2 TEC
PLCG2 LIME1
PLCG2 PLCH1
PLCG2 DGKI
PLCG2 PHC2
PLCG2 ITPKA
PLCG2 INPP5A
PLCG2 DGKD
PLCG2 PLCD4
PLCG2 HAX1
PLCG2 PLCD1
PLCG2 PLCZ1
PLCG2 PLCB1
PLCG2 PLCH2
PLCG2 PLCD3
PLCG2 IMPA2
PLCG2 PLCE1
PLCG2 SH3BP2
PLCG2 DGKZ
PLCG2 HCK
PLCG2 INPP5J
PLCG2 DGKQ
PLCG2 DGKB
PLCG2 PLCL1
PLCG2 INPP5E
PLCG2 ISYNA1
PLCG2 DYNLT1
PLCG2 ITPKC
PLCG2 DAPP1
PLCG2 PLCG2
PLCG2 PLCB4
PLCG2 DGKA
PLCG2 DGKH
PLCG2 FLT1
PLCG2 PLCXD2
PLCB1 MAPK1
PLCB1 PLCG1
PLCB1 PRKDC
PLCB1 PRKCD
PLCB1 KRAS
PLCB1 ALB
PLCB1 CTBP2
PLCB1 CTBP1
PLCB1 CLTC
PLCB1 PRKCA
PLCB1 MAPK3
PLCB1 PRKCB
PLCB1 INPP5D
PLCB1 PDCD6IP
PLCB1 SYNJ1
PLCB1 PARD6A
PLCB1 NUMA1
PLCB1 SLC9A3R1
PLCB1 PARD3
PLCB1 PRKCI
PLCB1 PRKCZ
PLCB1 SPTBN1
PLCB1 STAM
PLCB1 PRKCE
PLCB1 RGS4
PLCB1 RGS12
PLCB1 LMNB2
PLCB1 PRKCQ
PLCB1 NDEL1
PLCB1 CEP76
PLCB1 DGKQ
PLCB1 DGKZ
PLCB1 TRPC3
PLCB1 GNAQ
PLCB1 TFCP2
PLCB1 TRPM7
PLCB1 DGKG
PLCB1 PLCB3
PLCB1 PRKCG
PLCB1 CAP2
PLCB1 INPP5B
PLCB1 PLCB2
PLCB1 PLCD1
PLCB1 MT-ND2
PLCB1 PRKCH
PLCB1 MACF1
PLCB1 PLCD3
PLCB1 IPMK
PLCB1 PLCL1
PLCB1 DGKE
PLCB1 INPP5A
PLCB1 INPP5J
PLCB1 DGKB
PLCB1 PLCZ1
PLCB1 DGKH
PLCB1 PLCH2
PLCB1 ITPKB
PLCB1 PLCD4
PLCB1 RRBP1
PLCB1 PLCE1
PLCB1 PLCH1
PLCB1 ISYNA1
PLCB1 DGKI
PLCB1 ITPKA
PLCB1 IMPA1
PLCB1 ITPKC
PLCB1 IMPA2
PLCB1 PLCXD2
PLCB1 PPP1R7
PLCB1 DGKD
PLCB1 INPP5E
PLCB1 DGKA
PLCB1 COG4
PLCB1 PLCB4
ITSN1 MAPK8
ITSN1 AKT1
ITSN1 ITCH
ITSN1 MAPK9
ITSN1 EEF1A1
ITSN1 ARFIP2
ITSN1 CDC42
ITSN1 CBL
ITSN1 WAS
ITSN1 PDE4D
ITSN1 DNM2
ITSN1 SCAMP1
ITSN1 DISC1
ITSN1 STON2
ITSN1 SNAP25
ITSN1 SOS1
ITSN1 AP2B1
ITSN1 EPS15L1
ITSN1 ITSN1
ITSN1 EPS15
ITSN1 SGIP1
ITSN1 DNM1
ITSN1 PHGDH
ITSN1 WIPF3
ITSN1 LMO4
ITSN1 PLK1
ITSN1 MAPK6
ITSN1 SNAP23
ITSN1 MRPL20
ITSN1 WASL
ITSN1 AP2A1
ITSN1 CSNK2B
ITSN1 KIF5A
ITSN1 EEF1A1P5
ITSN1 CLTC
ITSN1 SH3GL2
ITSN1 SMARCC2
ITSN1 TSG101
ITSN1 SMNDC1
ITSN1 ARHGAP31
ITSN1 UBE2K
ITSN1 HRAS
ITSN1 SOS2
ITSN1 RPS6KA5
ITSN1 UNC119
ITSN1 DBH
ITSN1 MAP3K20
ITSN1 TK1
ITSN1 ASB15
ITSN1 MAPK8IP2
ITSN1 SYNJ1
ITSN1 SNX5
ITSN1 PIK3AP1
ITSN1 EPHB2
PLCB4 JUN
PLCB4 PLCG1
PLCB4 GRIN1
PLCB4 REL
PLCB4 INPP5D
PLCB4 SYNJ1
PLCB4 MEOX2
PLCB4 DGKQ
PLCB4 DGKZ
PLCB4 DGKI
PLCB4 PLCE1
PLCB4 INPP5J
PLCB4 PLCB3
PLCB4 PLCB2
PLCB4 IPMK
PLCB4 IMPA1
PLCB4 IMPA2
PLCB4 ISYNA1
PLCB4 PLCD3
PLCB4 PLCD1
PLCB4 DGKH
PLCB4 INPP5E
PLCB4 ITPKA
