FLNC PHLDB2
PLCB4 ITPKB
PLCB4 DGKA
PLCB4 PLCD4
PLCB4 DGKE
PLCB4 DGKG
PLCB4 INPP5B
PLCB4 PLCZ1
PLCB4 PLCXD2
PLCB4 DGKD
PLCB4 PLCH2
PLCB4 INPP5A
PLCB4 PLCL1
PLCB4 ITPKC
PLCB4 PLCH1
PLCB4 DGKB
TRIM54 ZBTB16
TRIM54 SDCBP
TRIM54 PIK3R3
TRIM54 ELMO1
TRIM54 TEAD4
ZBTB16 MAP3K3
ZBTB16 GATA2
ZBTB16 PML
ZBTB16 EP300
ZBTB16 RB1
ZBTB16 HBEGF
ZBTB16 NCOR2
ZBTB16 RARA
ZBTB16 TRAF2
ZBTB16 TRIM27
ZBTB16 LDOC1
ZBTB16 VTA1
ZBTB16 CEP70
ZBTB16 HDAC1
ZBTB16 HDAC3
ZBTB16 HDAC4
ZBTB16 HDAC5
ZBTB16 HDAC6
ZBTB16 SIN3A
ZBTB16 SIN3B
ZBTB16 BMI1
ZBTB16 LAMTOR5
ZBTB16 NCOR1
ZBTB16 ZBTB16
ZBTB16 VDR
ZBTB16 ZBTB32
ZBTB16 BCL6
ZBTB16 RUNX1T1
ZBTB16 FHL2
ZBTB16 UBE2I
ZBTB16 SUMO1
ZBTB16 ATP6AP2
ZBTB16 EEF1A1
ZBTB16 TIMP1
ZBTB16 MTDH
ZBTB16 ATP7B
ZBTB16 TAB2
ZBTB16 CEBPA
ZBTB16 IL32
ZBTB16 GOLGA2
ZBTB16 KRT40
ZBTB16 NLRP7
ZBTB16 EZH2
ZBTB16 ERVK-6
ZBTB16 TRAF1
ZBTB16 COG6
ZBTB16 RXRA
ZBTB16 LSM2
ZBTB16 CDK4
ZBTB16 CDK1
ZBTB16 SMN1
ZBTB16 NR3C1
ZBTB16 ESR1
ZBTB16 GATA1
ZBTB16 CEP72
ZBTB16 RAB27A
ZBTB16 SH2D4A
ZBTB16 WDR33
ZBTB16 ANXA7
ZBTB16 HDAC9
ZBTB16 CDKN1A
ZBTB16 FCHO1
ZBTB16 DNM2
ZBTB16 ICAM3
ZBTB16 IL6
ZBTB16 RFLNB
ZBTB16 SP1
ZBTB16 PSMD2
ZBTB16 CCDC85B
ZBTB16 COMMD3-BMI1
ZBTB16 GCSH
ZBTB16 AGTR1
ZBTB16 DPM1
ZBTB16 ZNF24
ZBTB16 DNAAF5
ZBTB16 MCUB
ZBTB16 HDX
ZBTB16 AR
ZBTB16 THNSL2
ZBTB16 PNRC2
ZBTB16 TOLLIP
ZBTB16 KIAA1549
ZBTB16 PGAM5
ZBTB16 CCDC130
ZBTB16 ENOX1
ZBTB16 LMTK3
ZBTB16 CDK2
ZBTB16 ANAPC5
ZBTB16 CIDEA
ZBTB16 MAGEA11
ZBTB16 SMAD3
ZBTB16 FSHR
ZBTB16 QTRT1
ZBTB16 TXNIP
ZBTB16 FHL3
ZBTB16 AGTR2
ZBTB16 GSTM4
ZBTB16 EPN1
ZBTB16 SPRY2
ZBTB16 EIF2S2
ZBTB16 GRB7
ZBTB16 ACP5
ZBTB16 CD81
ZBTB16 PMAIP1
ZBTB16 PSMD11
ZBTB16 TERF1
ZBTB16 UBC
ZBTB16 LYAR
ZBTB16 HDAC2
ZBTB16 PLSCR1
ZBTB16 KRTAP4-12
ZBTB16 PAFAH1B3
ZBTB16 HDAC7
ZBTB16 TK1
ZBTB16 DLST
ZBTB16 SPOP
ZBTB16 COQ6
ZBTB16 MEOX2
ZBTB16 HOXA1
ZBTB16 PIBF1
ZBTB16 FAM90A1
ZBTB16 CCHCR1
ZBTB16 TRAF4
ZBTB16 TTC23
ZBTB16 TLE5
ZBTB16 KIFC3
ZBTB16 MTUS2
ZBTB16 MID2
ZBTB16 GPANK1
ZBTB16 FHL5
ZBTB16 HSF2BP
ZBTB16 EFHC2
ZBTB16 ZNF655
ZBTB16 TRIM23
ZBTB16 BLZF1
ZBTB16 NFKBID
ZBTB16 RAB3IP
ZBTB16 CTDSP1
ZBTB16 REL
ZBTB16 MYLIP
ZBTB16 OSBPL3
ZBTB16 PIAS2
ZBTB16 NME4
ZBTB16 PHF1
ZBTB16 AMOTL2
ZBTB16 TRIM21
ZBTB16 RINT1
ZBTB16 HOXC5
ZBTB16 ZNF620
ZBTB16 ZNF552
ZBTB16 ZBTB42
ZBTB16 WASHC1
ZBTB16 CARD9
ZBTB16 PRKAR1B
ZBTB16 FAM217B
ZBTB16 GOLGA6L9
SDCBP MAPK9
SDCBP CTNNB1
SDCBP SRC
SDCBP SIAH1
SDCBP UBC
SDCBP RNF11
SDCBP ARFIP2
SDCBP SET
SDCBP RRS1
SDCBP KCTD1
SDCBP PPARA
SDCBP SUB1
SDCBP REL
SDCBP CTBP2
SDCBP ZBTB8A
SDCBP CALM3
SDCBP CTNNA1
SDCBP TRAF6
SDCBP WASL
SDCBP HNRNPC
SDCBP PDCD6IP
SDCBP DNM2
SDCBP LDOC1
SDCBP SMARCA2
SDCBP CDKN2D
SDCBP UBE2K
SDCBP CLK2
SDCBP TNKS
SDCBP HUS1
SDCBP CDH1
SDCBP TCF4
SDCBP LDHB
SDCBP ELAVL1
SDCBP MRFAP1
SDCBP TRIM27
SDCBP OPTN
SDCBP FLAD1
SDCBP CEP55
SDCBP MTUS2
SDCBP NF2
SDCBP SNX1
SDCBP TLE5
SDCBP ABI2
SDCBP MRFAP1L1
SDCBP CRX
SDCBP TEKT1
SDCBP WASHC1
SDCBP FHL3
SDCBP DTNBP1
SDCBP CALM1
SDCBP PTPRJ
SDCBP CAV2
SDCBP TGFA
SDCBP RAB5A
SDCBP UBE2A
SDCBP RBM39
SDCBP FADD
SDCBP FTH1
SDCBP NECAB2
SDCBP PNMA1
SDCBP GRIK2
SDCBP GRIK1
SDCBP ULK1
SDCBP SDC2
SDCBP EFNB1
SDCBP IL5RA
SDCBP SOX4
SDCBP TDO2
SDCBP CBR3
SDCBP CDA
SDCBP CDC34
SDCBP CLK3
SDCBP CRYAA
SDCBP DCTD
SDCBP FTL
SDCBP HMGB3
SDCBP HOXA1
SDCBP HPRT1
SDCBP HSBP1
SDCBP KRTAP5-9
SDCBP LGALS2
SDCBP PSMC6
SDCBP RNH1
SDCBP SRSF7
SDCBP TRAF5
SDCBP SSNA1
SDCBP SRSF11
SDCBP PDE4DIP
SDCBP ANP32B
SDCBP PNMA2
SDCBP RUNDC3A
SDCBP LSM6
SDCBP MAPRE3
SDCBP TRIM32
SDCBP TNFAIP8
SDCBP OSTF1
SDCBP WASHC3
SDCBP CUTC
SDCBP ZCCHC17
SDCBP LZTFL1
SDCBP ROPN1
SDCBP KCTD9
SDCBP NKAPD1
SDCBP NAGK
SDCBP SEPTIN3
SDCBP EIF5A2
SDCBP HOMEZ
SDCBP KLHL12
SDCBP RIC8A
SDCBP CDCP1
SDCBP NADK
SDCBP PYCR3
SDCBP C11orf68
SDCBP EIF1AD
SDCBP TIFA
SDCBP REEP6
SDCBP CMTM5
SDCBP FAM9B
SDCBP KCTD6
SDCBP KHDRBS2
SDCBP GPATCH11
SDCBP INO80E
SDCBP SREK1IP1
SDCBP CT45A3
SDCBP TMEM239
SDCBP PSME2
SDCBP DRAP1
SDCBP RPL22
SDCBP RTN1
SDCBP SDC1
SDCBP TFCP2
SDCBP PSTPIP1
SDCBP ZCCHC10
SDCBP MBD3
SDCBP IHO1
SDCBP CALCOCO2
SDCBP PRPF40A
SDCBP FAM118B
SDCBP KRTAP10-3
SDCBP EAF1
SDCBP MID2
SDCBP MAD2L1
SDCBP ZBTB14
SDCBP STX1A
SDCBP CGGBP1
SDCBP GRIA4
SDCBP THG1L
SDCBP FOXP2
SDCBP SLC6A5
SDCBP C1orf109
SDCBP CADM1
SDCBP CDIPT
SDCBP CT45A5
SDCBP GRM3
SDCBP PTS
SDCBP SDCBP
SDCBP TRIM38
SDCBP GNMT
SDCBP DMC1
SDCBP SULT1B1
SDCBP PUF60
SDCBP NT5C2
SDCBP GRIA2
SDCBP CCDC102B
SDCBP CD6
SDCBP FAM118A
SDCBP PRR13
SDCBP APIP
SDCBP RP9P
SDCBP MED4
SDCBP EFNB2
SDCBP KCNH1
SDCBP PRPF38A
SDCBP SDCBP2
SDCBP PHC2
SDCBP GRIA3
SDCBP COX4I1
SDCBP NFASC
SDCBP KLHL2
SDCBP BCL2L15
SDCBP ENOX1
SDCBP ENTR1
SDCBP EPHB2
SDCBP TKFC
SDCBP TEC
SDCBP IKZF1
SDCBP CADPS
SDCBP GRIA1
SDCBP DCTPP1
SDCBP WDR91
SDCBP GRIK3
SDCBP EDARADD
SDCBP ERICH2
SDCBP ANKRD40
SDCBP SDC4
SDCBP KRTAP10-7
SDCBP NOTCH2NLA
SDCBP MEOX2
SDCBP MEOX1
SDCBP PIH1D2
SDCBP TRIP13
SDCBP ARL6IP1
SDCBP YIF1A
SDCBP RPRM
SDCBP HOMER3
SDCBP PFDN5
SDCBP RPRD1A
SDCBP POLR2J
SDCBP MYLIP
SDCBP SYPL1
SDCBP ZRANB1
SDCBP SCML1
SDCBP HHAT
SDCBP GSC2
SDCBP ZMYND12
SDCBP MGLL
SDCBP SNRPA
SDCBP ZNF343
SDCBP DERL3
SDCBP SYNGR1
SDCBP SCG3
SDCBP LEPROTL1
SDCBP CABP5
SDCBP UBE2R2
SDCBP ODAM
SDCBP CHIC2
SDCBP GSG1
SDCBP GOLT1B
SDCBP SRSF3
SDCBP FHL5
SDCBP ID3
SDCBP TCF21
SDCBP OCM
SDCBP HOXA7
SDCBP KCNJ2
SDCBP MATN4
SDCBP NAPB
SDCBP RALY
SDCBP CEP85
SDCBP CHMP1A
SDCBP PDLIM4
SDCBP EIF5A
SDCBP MKRN1
SDCBP KATNBL1
SDCBP PHF11
SDCBP C1orf35
SDCBP CALM2
SDCBP CTDSP1
SDCBP ZNF660
SDCBP N4BP3
SDCBP DYNLT1
SDCBP HMBOX1
SDCBP MINDY3
SDCBP GGPS1
SDCBP RPIA
SDCBP LURAP1L
SDCBP PDE9A
SDCBP HSF2BP
SDCBP S100B
SDCBP PCYT1A
SDCBP POLR3K
SDCBP PDZK1IP1
SDCBP RP9
SDCBP GKAP1
SDCBP BEND7
SDCBP PCBD1
SDCBP ANKRD33
SDCBP IGFBP6
SDCBP MOBP
SDCBP HEXIM2
SDCBP SLC50A1
SDCBP LDB2
SDCBP ZNF768
SDCBP UBB
SDCBP RRM2
SDCBP C2CD2L
SDCBP CCDC106
SDCBP EXOSC4
SDCBP SSC5D
SDCBP SEPTIN1
SDCBP FAM9A
SDCBP TNFAIP8L3
SDCBP EMILIN3
SDCBP TRARG1
SDCBP KRT14
SDCBP TMEM17
SDCBP CYHR1
SDCBP ZSCAN23
SDCBP TMCO2
SDCBP SPANXN3
SDCBP ANKRD36B
SDCBP RPS26
SDCBP ZNF485
SDCBP DDX39B
SDCBP SFT2D1
SDCBP SYS1
SDCBP TSN
SDCBP RTL8B
SDCBP GRXCR1
SDCBP KRTAP1-5
SDCBP KRTAP1-3
SDCBP GET4
SDCBP CT45A1
SDCBP CT45A10
SDCBP CRYAA2
SDCBP PSMB3
PIK3R3 RB1
PIK3R3 EGFR
PIK3R3 ESR1
PIK3R3 ERBB2
PIK3R3 PTK2
PIK3R3 BLK
PIK3R3 IGF1R
PIK3R3 ITGB3BP
PIK3R3 LUC7L2
PIK3R3 GRB2
PIK3R3 CBL
PIK3R3 PIK3CA
PIK3R3 ERBB3
PIK3R3 PDGFRB
PIK3R3 IRS1
PIK3R3 TNK2
PIK3R3 AXL
PIK3R3 CRK
PIK3R3 IRS4
PIK3R3 PIK3R2
PIK3R3 IRS2
PIK3R3 PIK3CB
PIK3R3 DRAP1
PIK3R3 LYN
PIK3R3 L3MBTL3
PIK3R3 SOCS6
PIK3R3 HCK
PIK3R3 ARL6IP4
PIK3R3 PLEKHS1
PIK3R3 OTUD7B
PIK3R3 PARD6A
PIK3R3 PELI3
PIK3R3 RBP7
PIK3R3 SOCS4
PIK3R3 SPSB2
PIK3R3 METTL27
PIK3R3 ZNF767P
PIK3R3 CRYBA2
PIK3R3 FRS3
