SGCD DTNA
SDCBP OCM
SDCBP HOXA7
SDCBP KCNJ2
SDCBP MATN4
SDCBP NAPB
SDCBP RALY
SDCBP CEP85
SDCBP CHMP1A
SDCBP PDLIM4
SDCBP EIF5A
SDCBP MKRN1
SDCBP KATNBL1
SDCBP PHF11
SDCBP C1orf35
SDCBP CALM2
SDCBP CTDSP1
SDCBP ZNF660
SDCBP N4BP3
SDCBP DYNLT1
SDCBP HMBOX1
SDCBP MINDY3
SDCBP GGPS1
SDCBP RPIA
SDCBP LURAP1L
SDCBP PDE9A
SDCBP HSF2BP
SDCBP S100B
SDCBP PCYT1A
SDCBP POLR3K
SDCBP PDZK1IP1
SDCBP RP9
SDCBP GKAP1
SDCBP BEND7
SDCBP PCBD1
SDCBP ANKRD33
SDCBP IGFBP6
SDCBP MOBP
SDCBP HEXIM2
SDCBP SLC50A1
SDCBP LDB2
SDCBP ZNF768
SDCBP UBB
SDCBP RRM2
SDCBP C2CD2L
SDCBP CCDC106
SDCBP EXOSC4
SDCBP SSC5D
SDCBP SEPTIN1
SDCBP FAM9A
SDCBP TNFAIP8L3
SDCBP EMILIN3
SDCBP TRARG1
SDCBP KRT14
SDCBP TMEM17
SDCBP CYHR1
SDCBP ZSCAN23
SDCBP TMCO2
SDCBP SPANXN3
SDCBP ANKRD36B
SDCBP RPS26
SDCBP ZNF485
SDCBP DDX39B
SDCBP SFT2D1
SDCBP SYS1
SDCBP TSN
SDCBP RTL8B
SDCBP GRXCR1
SDCBP KRTAP1-5
SDCBP KRTAP1-3
SDCBP GET4
SDCBP CT45A1
SDCBP CT45A10
SDCBP CRYAA2
SDCBP PSMB3
CTNNA3 CTNNB1
CTNNA3 CENPS
CTNNA3 PAX6
CTNNA3 PPARA
CTNNA3 REL
CTNNA3 ORC2
CTNNA3 ECSIT
CTNNA3 JUP
CTNNA3 BLZF1
CTNNA3 TLX3
CTNNA3 LASP1
CTNNA3 GNB1
CTNNA3 NDUFB7
CTNNA3 RPS6KA5
CTNNA3 KATNAL1
CTNNA3 COG4
CTNNA3 CMC2
CTNNA3 OIP5
CTNNA3 STMN2
CTNNA3 CRX
CTNNA3 POU6F2
CTNNA3 TASOR2
CTNNA3 MYOG
CTNNA3 FAM110A
CTNNA3 PLAGL2
CTNNA3 AKAP9
CTNNA3 USHBP1
CTNNA3 TNNI2
CTNNA3 ZNF426
CTNNA3 MARCHF7
CTNNA3 CCDC33
CTNNA3 FBXO28
CTNNA3 VIP
CTNNA3 FERD3L
CTNNA3 RIPPLY1
CTNNA3 FAM161B
CTNNA3 ZNF19
CTNNA3 TNNI1
CTNNA3 DISC1
CTNNA3 ZNF474
CTNNA3 HDX
CTNNA3 NAB2
CTNNA3 ATP23
CTNNA3 FAM161A
CTNNA3 MBD3L1
CTNNA3 ZG16
CTNNA3 MSRA
CTNNA3 EID2B
CTNNA3 PNMA1
CTNNA3 ZNF620
CTNNA3 ZNF552
CTNNA3 SERTAD2
CTNNA3 GINS3
CTNNA3 ZNF662
CTNNA3 FAM9A
CTNNA3 PRR5
CTNNA3 BLOC1S2
CTNNA3 PNMA5
CTNNA3 CDSN
CTNNA3 CCDC183
CTNNA3 HOMEZ
CTNNA3 CKMT1A
CTNNA3 CKMT1B
CTNNA3 SPATS1
CTNNA3 CENPS-CORT
CTNNA3 C17orf50
PSMA1 AGR2
PSMA1 LMO2
PSMA1 JUN
PSMA1 UBE3A
PSMA1 PSME3
PSMA1 MAPK1
PSMA1 MYC
PSMA1 PSMA3
PSMA1 MAD1L1
PSMA1 EHMT2
PSMA1 PRIMPOL
PSMA1 KRT15
PSMA1 HSPA8
PSMA1 PRKN
PSMA1 UBQLN1
PSMA1 MAPRE1
PSMA1 VCP
PSMA1 KCTD1
PSMA1 REL
PSMA1 TCF12
PSMA1 HSPA5
PSMA1 TRAF6
PSMA1 IKZF3
PSMA1 GOLGA2
PSMA1 TRAF1
PSMA1 LDOC1
PSMA1 CCDC136
PSMA1 RGS19
PSMA1 NMI
PSMA1 MLH1
PSMA1 CDKN2D
PSMA1 RFC2
PSMA1 PLK1
PSMA1 PSMA7
PSMA1 VIM
PSMA1 HSD17B14
PSMA1 TCF4
PSMA1 TRIM27
PSMA1 PSMD10
PSMA1 PSMD2
PSMA1 KRT31
PSMA1 MCM6
PSMA1 MTUS2
PSMA1 PAK2
PSMA1 CCNH
PSMA1 PSMA6
PSMA1 KRT19
PSMA1 KRT38
PSMA1 ABI2
PSMA1 MRFAP1L1
PSMA1 KRT40
PSMA1 CDR2
PSMA1 CRX
PSMA1 KRT13
PSMA1 DYDC1
PSMA1 TFE3
PSMA1 UCHL5
PSMA1 TSC22D4
PSMA1 HOOK2
PSMA1 MSANTD4
PSMA1 HSPA1A
PSMA1 CEP70
PSMA1 COG6
PSMA1 SH3GLB1
PSMA1 KCTD13
PSMA1 TNFAIP1
PSMA1 EPB41
PSMA1 TUBB1
PSMA1 MPG
PSMA1 RBCK1
PSMA1 NECAB2
PSMA1 PNMA1
PSMA1 PICK1
PSMA1 TDO2
PSMA1 CDA
PSMA1 DCTD
PSMA1 KRTAP5-9
PSMA1 PSMC6
PSMA1 TRAF5
PSMA1 PNMA2
PSMA1 MAPRE3
PSMA1 LZTFL1
PSMA1 ROPN1
PSMA1 KCTD9
PSMA1 HOMEZ
PSMA1 KCTD6
PSMA1 INO80E
PSMA1 PSME2
PSMA1 HEXIM2
PSMA1 IKZF1
PSMA1 IPO13
PSMA1 TRIM23
PSMA1 CBS
PSMA1 PSMD14
PSMA1 HSPA2
PSMA1 UBQLN2
PSMA1 PSMC5
PSMA1 IFT20
PSMA1 PSMD4
PSMA1 DEF6
PSMA1 SSX2IP
PSMA1 EIF4A3
PSMA1 NME7
PSMA1 SEC16A
PSMA1 FKBP8
PSMA1 COIL
PSMA1 PSMC3
PSMA1 PSMC4
PSMA1 CCDC85B
PSMA1 TNIK
PSMA1 PRDM14
PSMA1 CINP
PSMA1 HOMER3
PSMA1 SAT1
PSMA1 MKNK2
PSMA1 ATG5
PSMA1 NOTCH2NLA
PSMA1 EMSY
PSMA1 RAD54B
PSMA1 ADAMTSL4
PSMA1 PSMB9
PSMA1 CALCOCO2
PSMA1 GABARAPL2
PSMA1 IKBKE
PSMA1 PSMC1
PSMA1 PSMD13
PSMA1 PSMD6
PSMA1 PSMD5
PSMA1 PSMC2
PSMA1 PSMD7
PSMA1 ADRM1
PSMA1 PSMB5
PSMA1 UBXN11
PSMA1 PSMA2
PSMA1 PSME1
PSMA1 TXNL1
PSMA1 PSMA4
PSMA1 PSMB2
PSMA1 PSMA1
PSMA1 PSMA5
PSMA1 PSMB10
PSMA1 PSMB8
PSMA1 POMP
PSMA1 PSMB1
PSMA1 PSMB3
PSMA1 PSMB4
PSMA1 PSMB6
PSMA1 PSMB7
PSMA1 PSMD11
PSMA1 PSMD12
PSMA1 PSMD1
PSMA1 PSMD8
PSMA1 PSMD3
PSMA1 PSMA8
PSMA1 MKRN3
PSMA1 MID2
PSMA1 CCDC102B
PSMA1 PSME3IP1
PSMA1 PSMG3
PSMA1 PSME4
PSMA1 PSMG4
PSMA1 PSMG2
PSMA1 PSMG1
PSMA1 TMOD3
PSMA1 RBM28
PSMA1 MCC
PSMA1 PPCDC
PSMA1 TRIM42
