SGCD DTNA
SDCBP TDO2
SDCBP CBR3
SDCBP CDA
SDCBP CDC34
SDCBP CLK3
SDCBP CRYAA
SDCBP DCTD
SDCBP FTL
SDCBP HMGB3
SDCBP HOXA1
SDCBP HPRT1
SDCBP HSBP1
SDCBP KRTAP5-9
SDCBP LGALS2
SDCBP PSMC6
SDCBP RNH1
SDCBP SRSF7
SDCBP TRAF5
SDCBP SSNA1
SDCBP SRSF11
SDCBP PDE4DIP
SDCBP ANP32B
SDCBP PNMA2
SDCBP RUNDC3A
SDCBP LSM6
SDCBP MAPRE3
SDCBP TRIM32
SDCBP TNFAIP8
SDCBP OSTF1
SDCBP WASHC3
SDCBP CUTC
SDCBP ZCCHC17
SDCBP LZTFL1
SDCBP ROPN1
SDCBP KCTD9
SDCBP NKAPD1
SDCBP NAGK
SDCBP SEPTIN3
SDCBP EIF5A2
SDCBP HOMEZ
SDCBP KLHL12
SDCBP RIC8A
SDCBP CDCP1
SDCBP NADK
SDCBP PYCR3
SDCBP C11orf68
SDCBP EIF1AD
SDCBP TIFA
SDCBP REEP6
SDCBP CMTM5
SDCBP FAM9B
SDCBP KCTD6
SDCBP KHDRBS2
SDCBP GPATCH11
SDCBP INO80E
SDCBP SREK1IP1
SDCBP CT45A3
SDCBP TMEM239
SDCBP PSME2
SDCBP DRAP1
SDCBP RPL22
SDCBP RTN1
SDCBP SDC1
SDCBP TFCP2
SDCBP PSTPIP1
SDCBP ZCCHC10
SDCBP MBD3
SDCBP IHO1
SDCBP CALCOCO2
SDCBP PRPF40A
SDCBP FAM118B
SDCBP KRTAP10-3
SDCBP EAF1
SDCBP MID2
SDCBP MAD2L1
SDCBP ZBTB14
SDCBP STX1A
SDCBP CGGBP1
SDCBP GRIA4
SDCBP THG1L
SDCBP FOXP2
SDCBP SLC6A5
SDCBP C1orf109
SDCBP CADM1
SDCBP CDIPT
SDCBP CT45A5
SDCBP GRM3
SDCBP PTS
SDCBP SDCBP
SDCBP TRIM38
SDCBP GNMT
SDCBP DMC1
SDCBP SULT1B1
SDCBP PUF60
SDCBP NT5C2
SDCBP GRIA2
SDCBP CCDC102B
SDCBP CD6
SDCBP FAM118A
SDCBP PRR13
SDCBP APIP
SDCBP RP9P
SDCBP MED4
SDCBP EFNB2
SDCBP KCNH1
SDCBP PRPF38A
SDCBP SDCBP2
SDCBP PHC2
SDCBP GRIA3
SDCBP COX4I1
SDCBP NFASC
SDCBP KLHL2
SDCBP BCL2L15
SDCBP ENOX1
SDCBP ENTR1
SDCBP EPHB2
SDCBP TKFC
SDCBP TEC
SDCBP IKZF1
SDCBP CADPS
SDCBP GRIA1
SDCBP DCTPP1
SDCBP WDR91
SDCBP GRIK3
SDCBP EDARADD
SDCBP ERICH2
SDCBP ANKRD40
SDCBP SDC4
SDCBP KRTAP10-7
SDCBP NOTCH2NLA
SDCBP MEOX2
SDCBP MEOX1
SDCBP PIH1D2
SDCBP TRIP13
SDCBP ARL6IP1
SDCBP YIF1A
SDCBP RPRM
SDCBP HOMER3
SDCBP PFDN5
SDCBP RPRD1A
SDCBP POLR2J
SDCBP MYLIP
SDCBP SYPL1
SDCBP ZRANB1
SDCBP SCML1
SDCBP HHAT
SDCBP GSC2
SDCBP ZMYND12
SDCBP MGLL
SDCBP SNRPA
SDCBP ZNF343
SDCBP DERL3
SDCBP SYNGR1
SDCBP SCG3
SDCBP LEPROTL1
SDCBP CABP5
SDCBP UBE2R2
SDCBP ODAM
SDCBP CHIC2
SDCBP GSG1
SDCBP GOLT1B
SDCBP SRSF3
SDCBP FHL5
SDCBP ID3
SDCBP TCF21
