RUNX1 HGS
RUNX1 FBXO17
RUNX1 GCC1
RUNX1 BAG3
RUNX1 NFKBID
RUNX1 TEAD4
RUNX1 SNRPC
RUNX1 TEAD2
RUNX1 OLIG3
RUNX1 FAM222B
ZBTB16 HDAC5
ZBTB16 CCHCR1
LMO2 LDB2
LMO2 HDAC5
LMO2 UBASH3B
LDB2 HDAC7
LDB2 PTK2
LDB2 BRCA1
LDB2 CTBP1
LDB2 LMO4
LDB2 NTAQ1
LDB2 ISL1
LDB2 RLIM
LDB2 SMARCD1
LDB2 SDCBP
LDB2 EGLN3
LDB2 LNX1
LDB2 LMO1
LDB2 PSMB1
LDB2 CETN3
LDB2 TSNAX
LDB2 LMO3
LDB2 LHX9
LDB2 SSBP4
LDB2 C14orf119
LDB2 TTC19
LDB2 DGCR6L
LDB2 GGACT
LDB2 LHX8
LDB2 EPM2AIP1
LDB2 EXOC3L1
MDM2 IER3
MDM2 CLU
MDM2 APP
MDM2 UBTF
MDM2 ZNF766
MDM2 DAAM2
IER3 MAPK1
IER3 BAG6
IER3 PPP2R5C
IER3 FHL2
IER3 MAPK3
IER3 SGTA
IER3 PPP2CA
IER3 CAMLG
IER3 MCL1
IER3 MAPK6
IER3 PPP2R5B
IER3 PRNP
IER3 CD79A
IER3 TMBIM6
IER3 TMX2
IER3 FKBP7
IER3 CISD2
IER3 SLC13A4
TP53 DLEU1
TP53 KAT8
TP53 RBCK1
TP53 NMT1
TP53 CLTC
TP53 DDX5
DLEU1 KAT5
DLEU1 EEF1A1
DLEU1 UTP14A
DLEU1 GOPC
DLEU1 EEF1G
DLEU1 MED31
DLEU1 SETDB1
DLEU1 TLE1
DLEU1 COPS6
DLEU1 GDF9
DLEU1 TUBB2A
DLEU1 PSMA1
DLEU1 TUBB2B
DLEU1 ARL8B
DLEU1 CCDC90B
DLEU1 ABCF3
DLEU1 UBR1
DLEU1 TUBB4B
DLEU1 ABCD4
DLEU1 CEP126
DLEU1 SHMT1
CREBBP SPI1
CREBBP MAF
CREBBP RBCK1
CREBBP UBTF
CREBBP GABPA
CREBBP DDX5
SUMO1 BCKDK
NCOR2 HESX1
NCOR2 HDAC5
SIN3A HESX1
SIN3A SPI1
SIN3A KLF16
SIN3A EFTUD2
SIN3A PHF21A
NCOR1 HESX1
NCOR1 HDAC5
HDAC1 HESX1
HDAC1 TNIP1
HDAC1 SPI1
HDAC1 EED
HDAC1 UBTF
HDAC1 HEXIM1
HDAC1 EFTUD2
HDAC1 PHF21A
HDAC1 DDX5
HDAC3 EED
HDAC3 HDAC5
HDAC3 DDX5
HDAC2 HESX1
HDAC2 EED
HDAC2 EFTUD2
HDAC2 PHF21A
HDAC2 DDX5
STAT3 IL6R
STAT3 PTK2B
STAT3 BCKDK
IL6R JAK1
IL6R SRC
IL6R ADRB2
IL6R IL6ST
IL6R WWP2
IL6R MAGI1
IL6R WWP1
IL6R SGTB
