SDCBP DCTD
SDCBP FTL
SDCBP HMGB3
SDCBP HOXA1
SDCBP HPRT1
SDCBP HSBP1
SDCBP KRTAP5-9
SDCBP LGALS2
SDCBP PSMC6
SDCBP RNH1
SDCBP SRSF7
SDCBP TRAF5
SDCBP SSNA1
SDCBP SRSF11
SDCBP PDE4DIP
SDCBP ANP32B
SDCBP PNMA2
SDCBP RUNDC3A
SDCBP LSM6
SDCBP MAPRE3
SDCBP TRIM32
SDCBP TNFAIP8
SDCBP OSTF1
SDCBP WASHC3
SDCBP CUTC
SDCBP ZCCHC17
SDCBP LZTFL1
SDCBP ROPN1
SDCBP KCTD9
SDCBP NKAPD1
SDCBP NAGK
SDCBP SEPTIN3
SDCBP EIF5A2
SDCBP HOMEZ
SDCBP KLHL12
SDCBP RIC8A
SDCBP CDCP1
SDCBP NADK
SDCBP PYCR3
SDCBP C11orf68
SDCBP EIF1AD
SDCBP TIFA
SDCBP REEP6
SDCBP CMTM5
SDCBP FAM9B
SDCBP KCTD6
SDCBP KHDRBS2
SDCBP GPATCH11
SDCBP INO80E
SDCBP SREK1IP1
SDCBP CT45A3
SDCBP TMEM239
SDCBP PSME2
SDCBP DRAP1
SDCBP RPL22
SDCBP RTN1
SDCBP SDC1
SDCBP TFCP2
SDCBP PSTPIP1
SDCBP ZCCHC10
SDCBP MBD3
SDCBP IHO1
SDCBP CALCOCO2
SDCBP PRPF40A
SDCBP FAM118B
SDCBP KRTAP10-3
SDCBP EAF1
SDCBP MID2
SDCBP MAD2L1
SDCBP ZBTB14
SDCBP STX1A
SDCBP CGGBP1
SDCBP GRIA4
SDCBP THG1L
SDCBP FOXP2
SDCBP SLC6A5
SDCBP C1orf109
SDCBP CADM1
SDCBP CDIPT
SDCBP CT45A5
SDCBP GRM3
SDCBP PTS
SDCBP SDCBP
SDCBP TRIM38
SDCBP GNMT
SDCBP DMC1
SDCBP SULT1B1
SDCBP PUF60
SDCBP NT5C2
SDCBP GRIA2
SDCBP CCDC102B
SDCBP CD6
SDCBP FAM118A
SDCBP PRR13
SDCBP APIP
SDCBP RP9P
SDCBP MED4
SDCBP EFNB2
SDCBP KCNH1
SDCBP PRPF38A
SDCBP SDCBP2
SDCBP PHC2
SDCBP GRIA3
SDCBP COX4I1
SDCBP NFASC
SDCBP KLHL2
SDCBP BCL2L15
SDCBP ENOX1
SDCBP ENTR1
SDCBP EPHB2
SDCBP TKFC
SDCBP TEC
SDCBP IKZF1
SDCBP CADPS
SDCBP GRIA1
SDCBP DCTPP1
SDCBP WDR91
SDCBP GRIK3
SDCBP EDARADD
SDCBP ERICH2
SDCBP ANKRD40
SDCBP SDC4
SDCBP KRTAP10-7
SDCBP NOTCH2NLA
SDCBP MEOX2
SDCBP MEOX1
SDCBP PIH1D2
SDCBP TRIP13
SDCBP ARL6IP1
SDCBP YIF1A
SDCBP RPRM
SDCBP HOMER3
SDCBP RPRD1A
SDCBP POLR2J
SDCBP MYLIP
SDCBP SYPL1
SDCBP ZRANB1
SDCBP SCML1
SDCBP HHAT
SDCBP GSC2
SDCBP ZMYND12
SDCBP MGLL
SDCBP SNRPA
SDCBP ZNF343
SDCBP DERL3
SDCBP SYNGR1
SDCBP SCG3
SDCBP LEPROTL1
SDCBP CABP5
SDCBP UBE2R2
SDCBP ODAM
SDCBP CHIC2
SDCBP GSG1
SDCBP GOLT1B
SDCBP SRSF3
SDCBP FHL5
SDCBP ID3
SDCBP TCF21
SDCBP OCM
SDCBP HOXA7
SDCBP KCNJ2
SDCBP MATN4
SDCBP NAPB
SDCBP RALY
SDCBP CEP85
SDCBP CHMP1A
SDCBP PDLIM4
SDCBP EIF5A
SDCBP MKRN1
SDCBP KATNBL1
SDCBP PHF11
SDCBP C1orf35
SDCBP CALM2
SDCBP CTDSP1
SDCBP ZNF660
SDCBP N4BP3
SDCBP DYNLT1
SDCBP HMBOX1
SDCBP MINDY3
SDCBP GGPS1
SDCBP RPIA
SDCBP LURAP1L
SDCBP PDE9A
SDCBP HSF2BP
SDCBP S100B
SDCBP PCYT1A
SDCBP POLR3K
SDCBP PDZK1IP1
SDCBP RP9
SDCBP GKAP1
SDCBP BEND7
SDCBP PCBD1
SDCBP ANKRD33
SDCBP IGFBP6
SDCBP MOBP
SDCBP HEXIM2
SDCBP SLC50A1
SDCBP LDB2
SDCBP ZNF768
SDCBP UBB
SDCBP RRM2
SDCBP C2CD2L
SDCBP CCDC106
SDCBP EXOSC4
SDCBP SSC5D
SDCBP SEPTIN1
SDCBP FAM9A
SDCBP TNFAIP8L3
SDCBP EMILIN3
SDCBP TRARG1
SDCBP KRT14
SDCBP TMEM17
SDCBP CYHR1
SDCBP ZSCAN23
SDCBP TMCO2
SDCBP SPANXN3
SDCBP ANKRD36B
SDCBP RPS26
SDCBP ZNF485
SDCBP DDX39B
SDCBP SFT2D1
SDCBP SYS1
SDCBP TSN
SDCBP RTL8B
SDCBP GRXCR1
SDCBP KRTAP1-5
SDCBP KRTAP1-3
SDCBP GET4
SDCBP CT45A1
SDCBP CT45A10
SDCBP CRYAA2
SDCBP PSMB3
FBXW11 DOCK1
FBXW11 IQGAP2
DOCK1 MAP1LC3B
DOCK1 PTK2
DOCK1 RAC1
DOCK1 SRC
DOCK1 CYTH2
DOCK1 GRB2
DOCK1 FYN
DOCK1 BCAR1
DOCK1 CRK
DOCK1 ELMO1
DOCK1 TAMALIN
DOCK1 WASF2
DOCK1 CEBPE
DOCK1 NCK1
DOCK1 ITGB5
DOCK1 NCK2
DOCK1 ELMO2
DOCK1 ZHX2
DOCK1 RHOG
DOCK1 ANKRD28
DOCK1 VPS37C
IQGAP2 MAP3K3
IQGAP2 RELA
IQGAP2 MYC
IQGAP2 NFKB1
IQGAP2 RAC1
IQGAP2 NFKB2
IQGAP2 LRPPRC
IQGAP2 REL
IQGAP2 CHUK
IQGAP2 POLR2H
IQGAP2 KPNA2
IQGAP2 IKBKB
IQGAP2 SKP1
IQGAP2 CUL1
IQGAP2 CDC42
IQGAP2 POLR1G
IQGAP2 MCC
IQGAP2 MTIF2
IQGAP2 IKBKG
IQGAP2 NFKBIB
IQGAP2 ACTR2
IQGAP2 POLR1A
IQGAP2 POLR1D
IQGAP2 POLR1E
IQGAP2 AKAP8L
IQGAP2 CALM1
IQGAP2 POLR2L
IQGAP2 RASAL2
IQGAP2 CAMKK2
IQGAP2 PDCD2
IQGAP2 POLR1B
IQGAP2 UBAC1
IQGAP2 RHOG
IQGAP2 IQGAP2
AGR2 EEF1A1
AGR2 RPS8
AGR2 RPL7
AGR2 RPL35A
AGR2 RPL35
AGR2 RPL9
AGR2 RPLP0
AGR2 RPL3
AGR2 RPL31
AGR2 RPL13A
AGR2 RPS20
AGR2 GAPDH
AGR2 RPL6
AGR2 IQGAP1
AGR2 RPL4
AGR2 RPS7
AGR2 RPL24
AGR2 EEF1G
AGR2 RPS14
AGR2 RPS25
AGR2 RPS11
AGR2 RPL10A
AGR2 RPL10
AGR2 RPL17
AGR2 RPL23
AGR2 RPS29
AGR2 RPS27
AGR2 DAPK1
AGR2 RPS2
AGR2 RPL29
AGR2 C3
EEF1A1 ARRB2
EEF1A1 MAPK14
EEF1A1 ZBTB16
EEF1A1 SMAD4
EEF1A1 MDM2
EEF1A1 RPL11
EEF1A1 NR4A1
