ACTB SCYL1
ACTB LGALS13
ACTB DHRS2
ACTB P2RX7
ACTB STAU1
ACTB RPSA
ACTB MPP3
ACTB DPF2
ACTB TRRAP
ACTB FLII
ACTB CYFIP1
ACTB PBRM1
ACTB HCK
ACTB DNASE1
ACTB DTNA
ACTB ANXA6
ACTB SPTAN1
ACTB EIF3I
ACTB HSP90AA1
ACTB DMTN
ACTB PDLIM5
ACTB TPM1
ACTB RPS8
ACTB GNA12
ACTB VASP
ACTB SSRP1
ACTB PFDN1
ACTB ACTR1B
ACTB MTA2
ACTB NEBL
ACTB NOS2
ACTB MYOC
ACTB ACTN4
ACTB GNAI2
ACTB CSNK1A1
ACTB TCP1
ACTB ANXA7
ACTB SHBG
ACTB RAC2
ACTB SYNJ2BP
ACTB RSL1D1
ACTB TPM2
ACTB TUBA1B
ACTB DYNLL1
ACTB HNRNPA2B1
ACTB CDK5R2
ACTB BBS1
ACTB CCT6A
ACTB MORF4L1
ACTB TNNI2
ACTB CPNE2
ACTB RAB4A
ACTB TOP2B
ACTB ACTL6A
ACTB WASF1
ACTB BRD8
ACTB RAB35
ACTB CAPZA1
ACTB TANC1
ACTB SMARCD1
ACTB ARID1B
ACTB PFN2
ACTB RPS10
ACTB RPLP0
ACTB ARPC1B
ACTB CDC37
ACTB DUSP19
MYH9 ARRB2
MYH9 MAP3K3
MYH9 CSNK2A1
MYH9 NFKB1
MYH9 RAC1
MYH9 PRKCD
MYH9 NFKB2
MYH9 VIRMA
MYH9 APP
MYH9 SHC1
MYH9 YWHAG
MYH9 GRIN1
MYH9 CDK2
MYH9 PRKCA
MYH9 YWHAZ
MYH9 ARRB1
MYH9 CHUK
MYH9 NCL
MYH9 PRKCB
MYH9 GRB2
MYH9 CBL
MYH9 WAS
MYH9 PTPN6
MYH9 TNFRSF1A
MYH9 NEDD9
MYH9 MYL6
MYH9 HSP90AB1
MYH9 SPTAN1
MYH9 PRKCE
MYH9 PPP1CC
MYH9 MYL9
MYH9 USP45
MYH9 UBASH3B
MYH9 MYH10
MYH9 TPM4
MYH9 FN1
MYH9 ACE
MYH9 CDC73
MYH9 MYL12A
MYH9 HUWE1
MYH9 MYO1E
MYH9 CYLD
MYH9 MYBPC3
MYH9 PRKCI
MYH9 IKBKG
MYH9 PRKCG
MYH9 ACTG2
MYH9 WNK1
MYH9 PLEKHA5
MYH9 IKBKE
MYH9 PRKCZ
MYH9 TRPM7
MYH9 CCR5
MYH9 TTN
MYH9 PRKCQ
MYH9 TNFRSF1B
MYH9 USP1
MYH9 VCL
MYH9 S100A4
MYH9 ASCC2
MYH9 AGO3
MYH9 CD163
MYH9 MYOM1
MYH9 MYOM2
MYH9 TUFM
MYH9 TRPM6
MYH9 CXCR4
MYH9 EPB41
MYH9 S100P
MYH9 PRKCH
MYH9 MME
MYH9 OVGP1
MYH9 RIPK2
MYH9 MARK4
ASPH LRRC59
ASPH KCNIP3
ASPH KCNIP4
ASPH NUCB2
ASPH SDC2
ASPH FGFBP1
ASPH GET3
ASPH TNFRSF10B
ASPH SF3A2
ASPH LTA
ASPH RCN1
ASPH LRPAP1
ASPH SGTB
ASPH ZG16
ASPH PRB1
ASPH PRAP1
ASPH PTN
ASPH TUFM
ASPH PLEKHF2
ASPH GPX7
ASPH GAL
ASPH FKBP7
ASPH KCNIP1
ASPH DCD
ASPH PDGFA
ASPH TRDN
ASPH GOLM1
ASPH OCIAD1
ASPH LCN2
ASPH CTSA
ASPH GPX8
ASPH TMX2
ASPH GSC2
ASPH SOD3
ASPH TXNDC15
ASPH PCSK4
ASPH PRB2
ASPH PLAAT2
ASPH IL21
ASPH SHISAL1
ASPH GPR119
ASPH PTH
ASPH SPINK1
ASPH ENPP6
ASPH RELL2
ASPH DEFB1
ASPH WFDC12
ASPH DHRSX
ASPH CST1
ASPH RNASEH1
ASPH INSL5
ASPH WFDC5
ASPH SMIM19
ASPH FDCSP
ASPH GAST
ASPH SLC51B
ASPH GUCA2A
ASPH CXorf66
ASPH CDSN
ASPH SMIM11A
ASPH UGT2B11
ASPH TMEM167B
ASPH PRB4
ASPH PRH1
ASPH BGLAP
ASPH SCGB1C2
ASPH SMIM11B
AKT1 PFKP
AKT1 HSP90AB1
AKT1 UXS1
AKT1 MAPK8IP1
PFKP EGFR
PFKP EEF1A1
PFKP ARF6
PFKP MAX
PFKP YWHAZ
PFKP TRAF6
PFKP PIK3R1
PFKP BTK
PFKP PRKAB1
PFKP SNW1
PFKP MCM9
PFKP AKT2
PFKP TRIM21
PFKP ALDOA
PFKP PFKM
PFKP TMPO
PFKP PFKL
PFKP MCC
PFKP ALDOC
PFKP BCAR3
PFKP TNFRSF1B
PFKP HLA-B
PFKP GSTK1
PFKP DYNLL1
PFKP GABARAPL2
PFKP DMWD
PFKP ALDOB
PFKP WIPI2
PFKP FBP1
PFKP NIPSNAP2
PFKP FBP2
PFKP NUTF2
HSP90AB1 ARRB2
HSP90AB1 MAP3K1
HSP90AB1 MAP3K3
HSP90AB1 MAP3K7
HSP90AB1 RPL11
HSP90AB1 TP53
HSP90AB1 SIN3A
HSP90AB1 HDAC1
HSP90AB1 HDAC2
HSP90AB1 RELA
HSP90AB1 NR4A1
HSP90AB1 STAT3
HSP90AB1 JUN
HSP90AB1 SP1
HSP90AB1 NPM1
HSP90AB1 SUMO2
HSP90AB1 CSNK2A1
HSP90AB1 CTNNB1
HSP90AB1 MYC
HSP90AB1 PKM
HSP90AB1 SIRT1
HSP90AB1 MAPK7
HSP90AB1 PSMA3
HSP90AB1 EGFR
HSP90AB1 STAT1
HSP90AB1 CDKN2A
HSP90AB1 EIF3K
HSP90AB1 MCM5
HSP90AB1 EEF1A1
HSP90AB1 GAPDH
HSP90AB1 PRKDC
HSP90AB1 HNRNPUL1
HSP90AB1 CDK7
HSP90AB1 HNRNPF
HSP90AB1 ESR1
HSP90AB1 PTK2
HSP90AB1 NFKB1
HSP90AB1 SRC
HSP90AB1 HIF1A
HSP90AB1 PELP1
HSP90AB1 CDK9
HSP90AB1 GNL3
HSP90AB1 RPS9
HSP90AB1 NFKB2
HSP90AB1 HDAC6
HSP90AB1 HSPA8
HSP90AB1 PRKN
HSP90AB1 HSPD1
HSP90AB1 NOS3
HSP90AB1 VCP
HSP90AB1 LRPPRC
HSP90AB1 HSPA4
HSP90AB1 PPARG
HSP90AB1 HNRNPU
HSP90AB1 DDX5
HSP90AB1 NOTCH1
HSP90AB1 DDX24
HSP90AB1 CDK2
HSP90AB1 HSPA5
HSP90AB1 ASH2L
HSP90AB1 SETD1A
HSP90AB1 ILF2
HSP90AB1 MCM2
HSP90AB1 YWHAZ
HSP90AB1 FBL
HSP90AB1 CHUK
HSP90AB1 NCL
HSP90AB1 GRB2
HSP90AB1 ANXA2
HSP90AB1 WASL
HSP90AB1 HNRNPC
HSP90AB1 FGFR3
HSP90AB1 BAG3
HSP90AB1 ACTG1
HSP90AB1 TNIP2
HSP90AB1 AURKB
HSP90AB1 RUVBL2
HSP90AB1 ACTN1
HSP90AB1 TUBG1
HSP90AB1 RBBP7
HSP90AB1 DHX9
HSP90AB1 RBBP4
HSP90AB1 FANCA
HSP90AB1 CDK4
HSP90AB1 TUBB
HSP90AB1 CHEK1
HSP90AB1 HNRNPA2B1
HSP90AB1 PABPC1
HSP90AB1 ENO1
HSP90AB1 EIF3B
HSP90AB1 SNRNP200
HSP90AB1 YBX1
HSP90AB1 RACK1
HSP90AB1 HNRNPD
HSP90AB1 RPSA
HSP90AB1 HSP90AA1
HSP90AB1 EBNA1BP2
HSP90AB1 NAT10
HSP90AB1 NUMA1
HSP90AB1 RPL21
HSP90AB1 RPL28
HSP90AB1 RPS27
HSP90AB1 RPS7
HSP90AB1 RPS13
HSP90AB1 VIM
HSP90AB1 RUVBL1
HSP90AB1 IKBKB
HSP90AB1 CACYBP
HSP90AB1 YWHAE
HSP90AB1 HNRNPA1
HSP90AB1 HSF1
HSP90AB1 GNAI2
HSP90AB1 FKBP6
HSP90AB1 SIRPA
HSP90AB1 KEAP1
HSP90AB1 PPID
HSP90AB1 MEPCE
HSP90AB1 USP50
HSP90AB1 TRIM8
HSP90AB1 LRRK2
HSP90AB1 STK33
HSP90AB1 RPS6
HSP90AB1 STIP1
HSP90AB1 ATP5F1A
HSP90AB1 HSPA1A
HSP90AB1 BRAF
HSP90AB1 PPP5C
HSP90AB1 AHSA1
HSP90AB1 PHB
HSP90AB1 CDC37
HSP90AB1 CDC37L1
HSP90AB1 PTGES3
HSP90AB1 AIP
HSP90AB1 CHORDC1
HSP90AB1 FKBP4
HSP90AB1 FKBP5
HSP90AB1 FKBPL
HSP90AB1 CCDC117
HSP90AB1 TTC4
HSP90AB1 STUB1
HSP90AB1 TOMM34
HSP90AB1 HGH1
HSP90AB1 TUBA1A
HSP90AB1 TMOD4
HSP90AB1 UNC45B
HSP90AB1 PTEN
HSP90AB1 ESRRB
HSP90AB1 RHOBTB2
