FLNC SGCD
YAP1 HSPA5
YAP1 YWHAZ
YAP1 YWHAQ
YAP1 ARRDC3
YAP1 RAPGEF2
YAP1 ERBB4
YAP1 MED28
YAP1 ABL1
YAP1 BTRC
YAP1 SMARCC1
YAP1 PPP1CA
YAP1 ENO1
YAP1 CSNK1D
YAP1 FUS
YAP1 SLC9A3R1
YAP1 PTPN14
YAP1 USP9X
YAP1 LATS2
YAP1 XPO1
YAP1 SFN
YAP1 YWHAE
YAP1 TP53BP2
YAP1 RTN4
YAP1 TFCP2
YAP1 PSMD2
YAP1 PTPN21
YAP1 MPDZ
YAP1 WBP1
YAP1 AMOT
YAP1 LATS1
YAP1 NFE2
YAP1 AMOTL2
YAP1 SRSF2
YAP1 TEAD1
YAP1 AMOTL1
YAP1 ARID1A
YAP1 CCDC85C
YAP1 DPF2
YAP1 PATJ
YAP1 LIN7C
YAP1 MPP5
YAP1 NF2
YAP1 PDLIM7
YAP1 RASSF8
YAP1 SLC9A3R2
YAP1 SMARCD1
YAP1 TEAD3
YAP1 WBP2
YAP1 YWHAB
YAP1 YWHAH
YAP1 MAP2K1
YAP1 TEAD4
YAP1 ARRDC1
YAP1 ERP44
YAP1 HSPH1
YAP1 HSPA4L
YAP1 RAPGEF6
YAP1 TEAD2
YAP1 ENAH
YAP1 WWC3
YAP1 CAD
YAP1 RPS4X
YAP1 TMPO
YAP1 RPL18
YAP1 HSPB1
YAP1 CCT2
YAP1 MATR3
YAP1 PHGDH
YAP1 CCT5
YAP1 PSMC5
YAP1 ACTL6A
YAP1 PSMB4
YAP1 RPL7
YAP1 PPP1CC
YAP1 WDR5
YAP1 DHX15
YAP1 TULP4
YAP1 FOXC1
YAP1 MSC
YAP1 NR1D1
YAP1 FOXA1
YAP1 OTUD1
YAP1 OTUB2
YAP1 KIF5A
YAP1 AKT2
YAP1 RUNX3
YAP1 STK3
YAP1 SMAD6
YAP1 DENND3
YAP1 SCAMP3
TRIM9 PTK2
TRIM9 MUL1
TRIM9 BTRC
TRIM9 CSNK1D
TRIM9 NTAQ1
TRIM9 RPL4
TRIM9 EVL
TRIM9 VASP
TRIM9 DCC
TRIM9 NCF1
TRIM9 TSSK3
TRIM9 SNAP25
TRIM9 FAM124B
TRIM9 CWF19L2
TRIM9 SPG21
TRIM9 FAM90A1
TRIM9 EXOC1
TRIM9 TRIM9
TRIM9 AP3M1
TRIM9 NFKBID
TRIM9 GFM2
TRIM9 UTP25
APC TP53
APC CREBBP
APC AXIN1
APC CSNK2A1
APC USP7
APC CTNNB1
APC SYNE2
APC MCM5
APC HNRNPF
APC PTK2
APC NFKB1
APC TRIM28
APC SIAH1
APC KRT17
APC ASAP1
APC KRT15
APC HGS
APC YWHAG
APC GSK3B
APC MAPRE1
APC LRP8
APC TFAP2A
APC XPO1
APC ERBIN
APC MAPRE2
APC CSNK1E
APC BUB1
APC BTRC
APC JUP
APC STRN
APC STRN3
APC RANBP2
APC UBR5
APC CTNNA1
APC TUBA4A
APC APC
APC KIFAP3
APC DLG3
APC ARHGEF4
APC TRIM21
APC CTBP1
APC ZRANB1
APC MKRN1
APC IMMT
APC CIRBP
APC RBM8A
APC PAK3
APC PRKACA
APC RPL5
APC ACTN1
APC GRB2
APC TRIO
APC HNRNPA1
APC LAMB3
APC PNLIP
APC SFN
APC YWHAZ
APC PRKACG
APC SYNE1
APC PRKACB
APC CGNL1
APC YWHAE
APC SETDB1
APC PACSIN2
APC AKAP9
APC MINK1
APC MYH10
APC WNK1
APC KIF15
APC SPTBN2
APC NUP42
APC RORB
APC FBXO30
APC TPR
APC AP1B1
APC EXPH5
APC NEB
APC IQGAP1
APC PLEC
APC TRIOBP
APC CYTH2
APC NAV3
APC DLGAP1
APC USP9X
APC TRIM56
APC CSNK1G1
APC PNISR
APC ANKRD17
APC ESRRA
APC MYO6
APC MYO10
APC SMC3
APC TNFAIP3
APC NUP153
APC DDB1
APC MNS1
APC SREBF2
APC PLEKHA5
APC SPECC1L
APC TUBA1A
APC FILIP1L
APC IGHA1
APC ACTN4
APC FAM214A
APC LRSAM1
APC RPS25
APC PUM2
APC TUBA1C
APC CCDC136
APC NCKAP5L
APC LCP2
APC PROCR
APC NUP214
APC CSNK2B
APC S100A4
APC YWHAQ
APC ZNF106
APC ING5
APC KRT14
APC KIAA1328
APC PPP2R5A
APC KHDRBS1
APC ANXA7
APC PPP1R13B
APC FAM193A
APC AXIN2
APC CSNK1A1
APC NUP54
APC EPAS1
APC CTNNBIP1
APC TNS1
APC ZNF43
APC GRIK5
APC DLG4
APC PYGB
APC ZSWIM6
APC KRT13
APC AMOTL1
APC BCL2L1
APC MUC1
APC RP1
APC CIP2A
APC ARHGAP21
APC LRRCC1
APC ADGRL1
APC ASB7
APC TAF1
APC OS9
APC NOMO2
APC ATP1A1
APC BUB3
APC CDC20
APC MAD2L1
APC COG4
APC LAMA3
APC COG5
APC KRT19
APC NUP62
APC RBM4B
APC RASAL3
APC THAP4
APC CNTRL
APC TUBG2
APC ODF2
APC BUB1B
APC TPM4
APC POM121
APC KIF5B
APC GOLGA2
APC CSNK1D
APC MACF1
APC KRT8
APC SNRNP200
APC OGT
APC ATP5F1B
APC SNW1
APC NFE2L2
APC NCKAP5
APC C4A
APC AZGP1
APC TXNDC11
APC FLNB
APC EIF3C
APC SEC23A
APC KRT23
APC ANO8
APC PPP2CA
APC HSPA5
APC RILPL1
APC GRIN2B
APC NAV1
APC NAV2
APC RGPD5
APC KRT9
APC NUP98
APC SRRM1
APC KRT5
APC MMRN1
APC RPS27
APC MYH11
APC KRT1
APC NUP58
APC EIF4G1
APC LNX1
APC SEC31A
APC SCRIB
APC FHOD1
APC MCM3AP
APC HAUS1
APC LAMA4
APC CERS2
APC PSMD1
APC DBF4B
APC HNRNPDL
APC DST
APC TOMM70
APC TUBG1
APC POM121C
APC HNRNPM
APC SCAF11
APC KIF3A
APC SPTBN1
APC ATF7IP
APC NOSTRIN
APC AGFG1
APC RTN4IP1
APC ELOA3P
APC CAPZA2
APC AP2B1
APC GIGYF2
APC CCT7
APC AP2A1
APC KALRN
APC KRT4
APC KIF3B
APC RANBP9
APC CDK2
NUAK1 AKT1
NUAK1 TP53
NUAK1 UBC
NUAK1 VCP
NUAK1 HSPA5
NUAK1 YWHAZ
NUAK1 S100A9
NUAK1 PRKAR1A
NUAK1 PRKAB1
NUAK1 BTRC
NUAK1 PPP1CB
NUAK1 HSP90AA1
NUAK1 USP9X
NUAK1 SKP1
NUAK1 AKT2
NUAK1 PPP1R12A
NUAK1 YWHAE
NUAK1 MARK3
NUAK1 PPP2CA
NUAK1 HSPA1A
NUAK1 CDC37
NUAK1 STK11
NUAK1 MARK2
NUAK1 PRKAB2
NUAK1 PRKAA1
NUAK1 LATS1
NUAK1 PPP2R2A
NUAK1 SLC25A5
NUAK1 CASP6
NUAK1 MARK1
NUAK1 BRSK1
NUAK1 MARK4
NUAK1 PPP2R1B
NUAK1 PRPSAP1
NUAK1 KRT77
NUAK1 NUAK1
NUAK1 NUAK2
NUAK1 SNRK
NUAK1 STK38L
NUAK1 BRSK2
NUAK1 S100A8
NUAK1 IGHA2
NUAK1 PRKAG1
TBC1D4 AKT1
TBC1D4 TOPBP1
TBC1D4 TET2
TBC1D4 YWHAG
TBC1D4 YWHAZ
TBC1D4 BTRC
TBC1D4 SLX4
TBC1D4 EP400
TBC1D4 AKT2
TBC1D4 YWHAH
TBC1D4 U2SURP
TBC1D4 DNPEP
TBC1D4 CDK5RAP2
TBC1D4 NFAT5
TBC1D4 RESF1
TBC1D4 ZMIZ1
TBC1D4 TASOR
TBC1D4 DDX56
TBC1D4 NAV1
TBC1D4 RBM12
TBC1D4 KATNIP
CACHD1 RAC1
CACHD1 ZMIZ1
CACHD1 XAB2
CACHD1 RANBP10
CACHD1 PEBP1
CACHD1 BICRAL
REL MAPK8
REL ZBTB16
REL LMO2
REL FBXW7
REL SRF
REL CREBBP
REL SIN3A
REL RELA
REL SP1
REL HDAC7
REL BANP
REL CSNK2A1
REL ATXN1
REL GAPDH
REL HNRNPF
REL CENPX
REL PPP4C
REL AR
REL EP300
REL NFKB1
REL CDKN1A
REL NFKB2
REL ARFIP2
REL HSPA8
REL LRPPRC
REL RASSF5
REL HSPA4
REL C1orf50
REL TFAP2A
REL PRKAA2
REL BCL3
REL SDCBP
REL CHAF1A
REL TNIP2
REL NFKBIE
REL MTPN
REL NFKBIA
REL NFKBIB
REL PRKAB2
REL DHPS
REL EIF4EBP1
REL EIF5A
REL EPHB6
REL FKBP1B
REL UBE2K
REL POLR2L
REL NCK2
REL HAT1
REL CGGBP1
REL STK16
REL ACOT8
REL MAD2L2
REL IL36RN
REL OSTF1
REL HSPB7
REL OSGIN1
REL EXOSC1
REL CINP
REL OAZ3
REL TRAPPC2L
REL C1orf109
REL MAGOHB
REL ASAP3
REL EIF5A2
REL EXOSC5
REL NGB
REL DMRT3
REL PGAP6
REL PARVG
REL OTUB2
REL ATG9A
REL SNRNP25
REL FLAD1
REL TSSK3
REL C11orf68
REL PLEKHN1
REL MIEN1
REL CEP19
REL EGLN3
REL EFHC1
REL NR2C2AP
REL GLYCTK
REL TSTD2
REL CPNE2
REL NEIL2
REL ZDHHC24
REL SEC14L4
REL BTRC
REL RELB
REL HIF1AN
REL ACTG1
REL GRB2
REL POLR1G
REL LSM2
REL HSPA1A
REL MCC
REL TBP
REL PTGER3
REL RPS13
REL MAP3K14
REL PPP6C
REL MTIF2
REL TUBB
REL IKBKG
REL RBM39
REL COMMD1
REL IKBKB
REL GTF2B
REL CALM3
REL ZNF417
REL PSMA1
REL CDK2
REL IKBKE
REL SKP1
REL POLR1A
REL TLE5
REL ALOX5
REL NAGK
REL MAP3K8
REL CALM2
REL HNRNPH1
REL IL2RA
REL ARIH2
REL RPL6
REL SEC16A
REL POLR2H
REL CDKN2C
REL DDX3X
REL NME7
REL CHUK
REL POLR1D
REL POLR1E
REL CLTC
REL LASP1
REL KRTAP9-4
REL FHL2
REL SAT1
REL NUDT14
REL NOTCH1
REL ZNF564
REL FNDC11
REL AGPAT4
REL CCNE1
REL CALM1
REL SZT2
REL C9orf72
REL HSPA6
REL HIP1
REL TTC19
REL DYNC1LI1
REL NDUFAF3
REL ZNF572
REL EXOSC8
REL TXNL4B
REL REL
REL RNF213
REL C12orf75
REL DAAM2
REL PLCB4
REL BCL2A1
REL TBK1
REL FUT11
REL PTK6
REL COL8A1
REL LMO1
REL TUBA3C
REL IQGAP2
REL CPSF1
REL RECK
REL CHCHD2
REL PIH1D2
REL KLHL40
REL EIF4E2
REL RPL30
REL EML2
REL KPNA2
REL PRDM10
REL BID
REL MORF4L1
REL UACA
REL TNIP1
REL KLHL32
REL ELF1
REL UBE2Z
REL POP5
REL NEUROG3
REL LNPEP
REL POLE2
REL ACTN3
REL RABIF
REL CKS1B
REL EIF3A
REL VPS25
REL FOXP3
REL ANKHD1
REL SLC6A12
REL ZNF550
REL NXT2
REL UBASH3A
REL HSPA5
REL TUBA3D
REL DNTT
REL SLC41A3
REL POLR1B
REL PDCD2
REL TTC21A
REL GADD45G
REL CCNJL
REL WDR37
REL PAPOLA
REL TNS2
REL SEC31A
REL SLC39A13
REL MAP3K7CL
REL PATE1
REL R3HDM2
REL ATPAF2
REL RSPH14
REL HSPA1L
REL KIAA0100
REL COPB2
REL NOL9
REL EPM2AIP1
REL RIPPLY1
REL RAB41
REL LGALS14
REL CABP5
REL TRIM74
REL ZNF765
REL CTNNBIP1
REL USP9X
REL NECAP1
REL TUBB4A
REL ANKRD28
REL HSPA9
REL BARHL2
REL BMF
REL REXO1L6P
REL CIB3
REL NEDD9
REL COL20A1
REL SPAG9
REL GTF2I
REL NKRF
REL HLA-DOA
REL FOXO4
REL IFNB1
REL EIF3D
REL MEMO1
REL MRPL10
REL TNF
REL KPNA3
REL RASAL2
REL GLG1
REL TSSC4
REL CUL1
REL SEPTIN7
REL OTUD4
REL C1QBP
REL NUCB1
REL A1CF
REL FKBP5
REL ZNF76
REL MAPRE3
REL TLX3
REL GPKOW
REL LENG1
REL CDK18
REL TSC22D3
REL FAM90A1
REL C14orf119
REL CTNNA3
REL NOXA1
REL UBASH3B
REL FNDC3B
REL MBD3
REL MID2
REL L3MBTL2
REL EMD
REL PELI2
REL EIF4A3
REL PM20D2
REL UBXN7
REL ACOT12
REL TCP11L1
REL KCTD7
REL PICK1
REL PSORS1C2
REL TRAPPC6A
REL DEF6
REL PSMA4
REL TBC1D22B
REL UBE2D4
REL RUNX1T1
REL THOC1
REL CACNA1S
REL ZNF446
REL HSD17B14
REL MMP2
REL KLHL42
REL SULT2B1
REL SPG21
REL TCL1A
REL AKT2
REL YJU2
REL PRPF31
REL SMG9
REL NMRK1
REL CDR2L
REL CHIC2
REL DDX6
REL CCNC
REL EHHADH
REL BCL6
REL RAB29
REL NUDT10
REL MORF4L2
REL ARMC7
REL SIX1
REL CDKN2D
REL CLIP1
REL RTL8C
REL STAMBPL1
REL SUOX
REL PADI3
REL C1orf56
REL ATP6V1C2
REL ATP6V0D2
REL SHC3
REL MIPOL1
REL ZIC1
REL GRAP
REL SPATC1L
REL FAAP20
REL C1orf74
REL SCNM1
REL SPRY1
REL CYB5R2
REL TBC1D21
REL TRIM68
REL KCTD6
REL ASMTL
REL QARS1
REL ESRRA
REL NABP1
REL MSRB3
REL CPNE7
REL RAD23A
REL MTURN
REL MB21D2
REL RAD51D
REL PCYT2
REL SAMD11
REL BCL2L15
REL ESRRG
REL WNK3
REL TSEN15
REL PSMB8
REL ARL16
REL ZBED8
REL AQP1
REL MYO15B
REL CFAP206
RASAL2 RELA
RASAL2 NFKB1
RASAL2 NFKB2
RASAL2 YWHAG
RASAL2 LRPPRC
RASAL2 MIA2
RASAL2 CHUK
RASAL2 POLR2H
RASAL2 TRAF1
RASAL2 KPNA2
RASAL2 IKBKB
RASAL2 SKP1
RASAL2 CSNK1A1
RASAL2 CUL1
RASAL2 IQGAP2
RASAL2 IKBKG
RASAL2 USHBP1
RASAL2 NFKBIB
RASAL2 MEOX2
RASAL2 POLR2L
RASAL2 PDCD2
RASAL2 POLR1A
RASAL2 CSNK1E
RASAL2 POLR1D
RASAL2 POLR1E
RASAL2 POLR1G
RASAL2 POLR1B
RASAL2 MCC
RASAL2 MTIF2
SIAH2 HIPK2
SIAH2 AFF1
HIPK2 MAP3K1
HIPK2 MAP3K7
HIPK2 PML
HIPK2 FBXW7
HIPK2 DAXX
HIPK2 MDM2
HIPK2 MYB
HIPK2 TP53
HIPK2 CREBBP
HIPK2 SUMO1
HIPK2 SIN3A
HIPK2 HDAC1
HIPK2 SKI
HIPK2 UBE2I
HIPK2 RUNX1
HIPK2 SP100
HIPK2 AXIN1
HIPK2 EP300
HIPK2 AATF
HIPK2 ABL1
HIPK2 RANBP9
HIPK2 CBX3
HIPK2 CBX4
HIPK2 SIAH1
HIPK2 PAX6
HIPK2 PARP1
HIPK2 DCAF7
HIPK2 ZYX
HIPK2 SMAD1
HIPK2 TP53INP1
HIPK2 HIPK2
HIPK2 NLK
HIPK2 WSB1
HIPK2 CXCL1
HIPK2 H2BC21
HIPK2 SENP2
HIPK2 ZBTB4
HIPK2 MECP2
HIPK2 SIRT1
HIPK2 TLE1
HIPK2 NKX3-2
HIPK2 TLE4
HIPK2 WNK1
HIPK2 RBBP4
HIPK2 TP63
HIPK2 SMAD2
HIPK2 DDX39A
HIPK2 NKX2-1
HIPK2 CTBP1
HIPK2 TRADD
HIPK2 TLE2
HIPK2 SREBF2
HIPK2 PTCH1
HIPK2 TLE6
HIPK2 FHL2
HIPK2 BTRC
HIPK2 TP73
HIPK2 TLE3
HIPK2 CREB1
HIPK2 NKX3-1
HIPK2 DDX39B
HIPK2 CHMP4B
HIPK2 CUL1
HIPK2 HMGA1
HIPK2 SMAD3
AFF1 MAPK14
AFF1 CCNT1
AFF1 RELA
AFF1 CDK9
AFF1 SIAH1
AFF1 ARFIP1
AFF1 MLLT3
AFF1 BRD4
AFF1 KMT2A
AFF1 SMAD9
AFF1 HEXIM1
AFF1 AFF4
AFF1 EAF1
AFF1 ELL2
AFF1 MLLT1
AFF1 DOT1L
AFF1 AFF1
AFF1 DDX6
AFF1 CBX8
AFF1 NT5E
AGR2 PFN1
AGR2 ACTB
AGR2 HSP90AA1
AGR2 VCL
AGR2 HSPH1
AGR2 RPL10
AGR2 C3
PFN1 RAD51
PFN1 ESR1
PFN1 HSPA8
PFN1 VCP
PFN1 STAT6
PFN1 CLTC
PFN1 YWHAZ
PFN1 PIK3R1
PFN1 WASL
PFN1 WIPF2
PFN1 DNM2
PFN1 ACTB
PFN1 DBN1
PFN1 VCL
PFN1 DLG5
PFN1 STUB1
PFN1 ROCK1
PFN1 RHOQ
PFN1 WASF1
PFN1 ACTC1
PFN1 NCK1
PFN1 PPP2R1A
PFN1 AFDN
PFN1 VASP
PFN1 FMNL1
PFN1 ACTA1
PFN1 TLE1
PFN1 TUBB2B
PFN1 CMA1
PFN1 CRMP1
PFN1 MAPK13
PFN1 RIF1
PFN1 ENAH
PFN1 GPHN
PFN1 LRIF1
PFN1 UNC119
PFN1 ASB15
PFN1 ERG28
PFN1 VIPR1
PFN1 APBB1IP
PFN1 XPO6
ACTB ARRB2
ACTB MDM2
ACTB RPL11
ACTB TP53
ACTB HDAC1
ACTB HDAC2
ACTB UBE2I
ACTB KAT5
ACTB NPM1
ACTB RNF4
ACTB H2AX
ACTB MYC
ACTB PSMA3
ACTB CDKN2A
ACTB EIF3K
ACTB RPA2
ACTB EEF1A1
ACTB GAPDH
ACTB RPA1
ACTB RPA3
ACTB PARP1
ACTB LMNA
ACTB RAD51
ACTB AR
ACTB ESR1
ACTB ERBB2
ACTB RAC1
ACTB SRC
ACTB CDKN1A
ACTB SMARCA4
ACTB PRKCD
ACTB CORO1A
ACTB RPS9
ACTB HDAC6
ACTB PLD2
ACTB PLD1
ACTB UBC
ACTB HSPA8
ACTB APP
ACTB CAV1
ACTB SHC1
ACTB GSN
ACTB PRKN
ACTB HSPD1
ACTB NOS3
ACTB MAPT
ACTB VCP
ACTB LRPPRC
ACTB HSPA4
ACTB TK1
ACTB SMAD3
ACTB HNRNPU
ACTB DDX5
ACTB POLR2A
ACTB CARM1
ACTB ESR2
ACTB VHL
ACTB RAD50
ACTB CLTC
ACTB HSPA5
ACTB YWHAZ
ACTB CHD4
ACTB ARRB1
ACTB FBL
ACTB NCL
ACTB CFL1
ACTB GRB2
ACTB CBL
ACTB IQGAP1
ACTB BCAR1
ACTB SYN1
ACTB MAP2
ACTB ANXA2
ACTB DNM1
ACTB HNRNPC
ACTB ALOX5
ACTB MYH9
ACTB UBASH3B
ACTB SMN1
ACTB NSMAF
ACTB SPTBN2
ACTB PPP1CA
ACTB CFL2
ACTB ACTB
ACTB DSTN
ACTB ACTG1
ACTB SMARCE1
ACTB NCF1
ACTB SSH1
ACTB RUVBL2
ACTB MEPCE
ACTB RUVBL1
ACTB BCL7C
ACTB CCN2
ACTB ERG
ACTB FBXO25
ACTB PPP1CC
ACTB LRRK2
ACTB CORO1C
ACTB TRAF3IP1
ACTB VCAM1
ACTB PHB
ACTB MAP1A
ACTB PLG
ACTB ICAM1
ACTB ENC1
ACTB AMOT
ACTB EHHADH
ACTB CAP2
ACTB NTAQ1
ACTB FAM107A
ACTB HIP1R
ACTB PTPRF
ACTB ACTC1
ACTB PDIA2
ACTB LYN
ACTB SMARCB1
ACTB RACK1
ACTB RPL22
ACTB CD4
ACTB RPS24
ACTB TLE1
ACTB CCT5
ACTB LCK
ACTB TUBB2B
ACTB HSPA1A
ACTB RPL18
ACTB RAB8B
ACTB VIM
ACTB HNRNPA1
ACTB EEF1B2
ACTB RPS13
ACTB TUBB
ACTB ACTL6B
ACTB AIMP2
ACTB ANXA1
ACTB VDAC3
ACTB EIF4A2
ACTB RPS12
ACTB AGO4
ACTB MYL12A
ACTB MAP1B
ACTB ROCK2
ACTB SYN2
ACTB MMP14
ACTB MYH10
ACTB ITGB2
ACTB PSTPIP1
ACTB WASF2
ACTB TUBA4A
ACTB FARSB
ACTB HSP90AB1
ACTB RPS7
ACTB HSD17B4
ACTB UBB
ACTB SMAD9
ACTB RBBP4
ACTB SMARCD3
ACTB BCL2L1
ACTB TUBA1A
ACTB RPS18
ACTB CCT3
ACTB EIF3B
ACTB VDAC2
ACTB PTPRB
ACTB CPNE1
ACTB RPL7A
ACTB H2BC7
ACTB RPS4X
ACTB HNRNPAB
ACTB MBD3
ACTB TGM2
ACTB ENO1
ACTB HNRNPH1
ACTB CBX5
ACTB MYL6
ACTB PTN
ACTB MME
ACTB RPS3A
ACTB RPS19
ACTB TNPO1
ACTB SMARCC1
ACTB TTR
ACTB DDX3X
ACTB EPC1
ACTB TPM3
ACTB SVIL
ACTB SMARCC2
ACTB YEATS4
ACTB CLIC4
ACTB YBX1
ACTB MYO18B
ACTB ING3
ACTB PCYT1A
ACTB SMARCD2
ACTB PI4KA
ACTB HNRNPD
ACTB CAP1
ACTB EIF3M
ACTB S100A11
ACTB H2BC8
ACTB EP400
ACTB EIF3C
ACTB MYO1G
ACTB H2BC4
ACTB CLNS1A
ACTB TJP1
ACTB NRAP
ACTB PCYT1B
ACTB NCALD
ACTB RCC1
ACTB NT5E
ACTB EZR
ACTB LAMA3
ACTB NCF2
ACTB EIF3E
ACTB EIF3D
ACTB EPC2
ACTB H2BC10
ACTB SMARCA2
ACTB ATF7IP
ACTB MORF4L2
ACTB PFDN4
ACTB CNN2
ACTB KPNB1
ACTB CCT4
ACTB CPNE4
ACTB VDAC1
ACTB SSH2
ACTB PLCD1
ACTB CCT8
ACTB TMSB4X
ACTB NONO
ACTB MX1
ACTB NCKAP1
ACTB ATP5F1A
ACTB RPL7
ACTB UBA52
ACTB SCN10A
ACTB EMD
ACTB XPO6
ACTB RAN
ACTB ABRA
ACTB ANAPC2
ACTB FABP4
ACTB MRGBP
ACTB MBD2
ACTB LMOD1
ACTB PHACTR4
ACTB PPP2R2B
ACTB FHL3
ACTB AGO3
ACTB CCT7
ACTB LASP1
ACTB ARID1A
ACTB H2BC6
ACTB BBS4
ACTB MYO1E
ACTB DMAP1
ACTB CCT2
ACTB RPS27A
ACTB RPLP1
ACTB MCL1
ACTB ARID2
ACTB VSNL1
ACTB STX4
ACTB SSH3
ACTB GATAD2B
ACTB INO80
ACTB WASF3
ACTB SCYL1
ACTB LGALS13
ACTB DHRS2
ACTB P2RX7
ACTB STAU1
ACTB RPSA
ACTB MPP3
ACTB DPF2
ACTB TRRAP
ACTB FLII
ACTB CYFIP1
ACTB PBRM1
ACTB HCK
ACTB DNASE1
ACTB ANXA6
ACTB SPTAN1
ACTB EIF3I
ACTB HSP90AA1
ACTB DMTN
ACTB PDLIM5
ACTB TPM1
ACTB RPS8
ACTB GNA12
ACTB VASP
ACTB SSRP1
ACTB PFDN1
ACTB ACTR1B
ACTB MTA2
ACTB NOS2
ACTB MYOC
ACTB ACTN4
ACTB GNAI2
ACTB CSNK1A1
ACTB TCP1
ACTB ANXA7
ACTB SHBG
ACTB RAC2
ACTB SYNJ2BP
ACTB RSL1D1
ACTB TPM2
ACTB TUBA1B
ACTB DYNLL1
ACTB HNRNPA2B1
ACTB CDK5R2
ACTB BBS1
ACTB CCT6A
ACTB MORF4L1
ACTB TNNI2
ACTB CPNE2
ACTB RAB4A
ACTB TOP2B
ACTB ACTL6A
ACTB WASF1
ACTB BRD8
ACTB RAB35
ACTB CAPZA1
ACTB TANC1
ACTB SMARCD1
ACTB ARID1B
ACTB PFN2
ACTB RPS10
ACTB RPLP0
ACTB ARPC1B
ACTB CDC37
ACTB DUSP19
HSP90AA1 AKT1
HSP90AA1 MAP3K1
HSP90AA1 MAP3K3
HSP90AA1 MAP3K7
HSP90AA1 MDM2
HSP90AA1 RPL11
HSP90AA1 TP53
HSP90AA1 SIN3A
HSP90AA1 HDAC1
HSP90AA1 HDAC2
HSP90AA1 RELA
HSP90AA1 STAT3
HSP90AA1 JUN
HSP90AA1 SP1
HSP90AA1 NPM1
HSP90AA1 CSNK2A1
HSP90AA1 CTNNB1
HSP90AA1 MAPK1
HSP90AA1 MYC
HSP90AA1 SIRT1
HSP90AA1 STAT1
HSP90AA1 CDKN2A
HSP90AA1 EIF3K
HSP90AA1 MCM5
HSP90AA1 GAPDH
HSP90AA1 PRKDC
HSP90AA1 BLM
HSP90AA1 CDK7
HSP90AA1 AR
HSP90AA1 NR3C1
HSP90AA1 MYOD1
HSP90AA1 ESR1
HSP90AA1 ERBB2
HSP90AA1 NFKB1
HSP90AA1 SRC
HSP90AA1 HIF1A
HSP90AA1 ALK
HSP90AA1 CDK9
HSP90AA1 FGFR1
HSP90AA1 FGR
HSP90AA1 RPS9
HSP90AA1 NFKB2
HSP90AA1 IGF1R
HSP90AA1 HDAC6
HSP90AA1 VIRMA
HSP90AA1 NTRK1
HSP90AA1 HSPA8
HSP90AA1 APP
HSP90AA1 SHC1
HSP90AA1 PRKN
HSP90AA1 HSPD1
HSP90AA1 GSK3B
HSP90AA1 NOS3
HSP90AA1 MAPT
HSP90AA1 KDR
HSP90AA1 VCP
HSP90AA1 LRPPRC
HSP90AA1 CUL2
HSP90AA1 HSPA4
HSP90AA1 BRCA1
HSP90AA1 DDX5
HSP90AA1 PPARA
HSP90AA1 H3-4
HSP90AA1 PPARD
HSP90AA1 BCL6
HSP90AA1 ATXN3
HSP90AA1 IRF3
HSP90AA1 CDK2
HSP90AA1 AHR
HSP90AA1 ARNT
HSP90AA1 SKP2
HSP90AA1 HSPA5
HSP90AA1 SENP3
HSP90AA1 TERF2
HSP90AA1 BRMS1
HSP90AA1 ASH2L
HSP90AA1 SETD1A
HSP90AA1 YWHAZ
HSP90AA1 ARRB1
HSP90AA1 APOB
HSP90AA1 FBL
HSP90AA1 CHUK
HSP90AA1 NCL
HSP90AA1 EFTUD2
HSP90AA1 PTGDS
HSP90AA1 FYN
HSP90AA1 ERBB3
HSP90AA1 BCR
HSP90AA1 TNFRSF1A
HSP90AA1 TNK2
HSP90AA1 EPHA2
HSP90AA1 AXL
HSP90AA1 HTT
HSP90AA1 ABL1
HSP90AA1 ZAP70
HSP90AA1 IRS4
HSP90AA1 MUC1
HSP90AA1 ANXA2
HSP90AA1 WASL
HSP90AA1 FGFR3
HSP90AA1 BTK
HSP90AA1 PAK1
HSP90AA1 AURKB
HSP90AA1 TRAF1
HSP90AA1 TUBG1
HSP90AA1 RBBP7
HSP90AA1 RBBP4
HSP90AA1 FANCA
HSP90AA1 CDK4
HSP90AA1 PGR
HSP90AA1 TUBB
HSP90AA1 CHEK1
HSP90AA1 BCL2
HSP90AA1 HNRNPA2B1
HSP90AA1 ENO1
HSP90AA1 EIF3B
HSP90AA1 YBX1
HSP90AA1 RACK1
HSP90AA1 HNRNPD
HSP90AA1 RPSA
HSP90AA1 PRKACB
HSP90AA1 MAP3K8
HSP90AA1 AKT2
HSP90AA1 PRKCZ
HSP90AA1 TGFBR2
HSP90AA1 TGFBR1
HSP90AA1 FES
HSP90AA1 DDR2
HSP90AA1 PRKCI
HSP90AA1 ARAF
HSP90AA1 NR2C2
HSP90AA1 RPL5
HSP90AA1 BMPR1A
HSP90AA1 CACYBP
HSP90AA1 CUL5
HSP90AA1 CFTR
HSP90AA1 CUL1
HSP90AA1 RIPK1
HSP90AA1 CUL4A
HSP90AA1 HSPB1
HSP90AA1 HSF1
HSP90AA1 CUL3
HSP90AA1 SGTA
HSP90AA1 U2AF2
HSP90AA1 FKBP6
HSP90AA1 TRAF3IP2
HSP90AA1 CLK3
HSP90AA1 TPM3
HSP90AA1 PIH1D1
HSP90AA1 KEAP1
HSP90AA1 CDK18
HSP90AA1 PRKACA
HSP90AA1 STK11
HSP90AA1 HSP90AB1
