FLNC SGCD
KCNIP1 CIAO2A
KCNIP1 KCNIP2
KCNIP1 KCND3
KCNIP1 KCND1
KCNIP1 ASPH
KCNIP1 SOD3
KCNIP1 AMPD3
KCNIP1 DAAM2
KCNIP1 NHLH2
INPPL1 EGFR
INPPL1 SORBS1
INPPL1 CSF1R
INPPL1 PLCB1
INPPL1 ITSN1
INPPL1 PLCL1
EGFR MAPK8
EGFR AKT1
EGFR ARRB2
EGFR MAPK9
EGFR MAPK14
EGFR MAP3K3
EGFR PML
EGFR MAPK11
EGFR TP53
EGFR RXRA
EGFR STAT3
EGFR SP1
EGFR HDAC7
EGFR H2AX
EGFR CTNNB1
EGFR MAPK1
EGFR PLCG1
EGFR APP
EGFR APOB
EGFR GRB2
EGFR TSG101
EGFR CDC25A
EGFR YWHAZ
EGFR HGS
EGFR TXN
EGFR CSK
EGFR IGF1R
EGFR DCN
EGFR SHC1
EGFR STAT5A
EGFR PTPN11
EGFR CRK
EGFR CBLB
EGFR CTNND1
EGFR JUP
EGFR AR
EGFR EGFR
EGFR CAMLG
EGFR PRKCA
EGFR HBEGF
EGFR ATP5F1C
EGFR EGF
EGFR PTK2
EGFR CBL
EGFR CBLC
EGFR CDH1
EGFR VAV1
EGFR VAV2
EGFR VAV3
EGFR STAT1
EGFR SRC
EGFR JAK2
EGFR PTK6
EGFR PTK2B
EGFR SOS1
EGFR SOS2
EGFR NCK1
EGFR PRKACA
EGFR ARF4
EGFR MAP4K1
EGFR NCK2
EGFR EPS15
EGFR PTPN6
EGFR SH2D3A
EGFR PLSCR1
EGFR RASA1
EGFR GRB10
EGFR PTPN1
EGFR NRG1
EGFR CD44
EGFR SH3KBP1
EGFR PIK3C2B
EGFR SOCS3
EGFR CAV1
EGFR CAV3
EGFR ERBB3
EGFR SNX2
EGFR STAT5B
EGFR RGS16
EGFR MUC1
EGFR GAB1
EGFR PDGFRB
EGFR SHC3
EGFR FER
EGFR ERBB2
EGFR HDAC6
EGFR HSP90B1
EGFR EEF1G
EGFR HSPA4
EGFR ARF6
EGFR PRDX1
EGFR AHNAK
EGFR MAP3K12
EGFR HSPA8
EGFR HSPA1A
EGFR AP2M1
EGFR VAPA
EGFR STUB1
EGFR USP8
EGFR PCNA
EGFR EPN1
EGFR PDCD6IP
EGFR SH3GL2
EGFR LRIG1
EGFR UBASH3A
EGFR UBASH3B
EGFR HSP90AA1
EGFR TNK2
EGFR LGALS1
EGFR LGALS3
EGFR NEDD4
EGFR UBC
EGFR PIK3R2
EGFR PIK3R1
EGFR ERRFI1
EGFR SMURF2
EGFR CALM1
EGFR RABGEF1
EGFR PTPRJ
EGFR EPS8
EGFR STAM2
EGFR RIN1
EGFR SEC61B
EGFR EMD
EGFR RBM10
EGFR TRAF2
EGFR HNRNPH1
EGFR BCLAF1
EGFR DOCK4
EGFR CRKL
EGFR TAB1
EGFR RIOK1
EGFR CDK1
EGFR ODF3L2
EGFR TRPV1
EGFR ESR1
EGFR ERBB4
EGFR HSP90AB1
EGFR HSPA5
EGFR CDC37
EGFR RNF115
EGFR RNF126
EGFR IRS4
EGFR ABL1
EGFR PLCG2
EGFR ABL2
EGFR ZAP70
EGFR NUMB
EGFR BLK
EGFR SHC2
EGFR SLA
EGFR MAPK8IP2
EGFR PIK3R3
EGFR ANKS1A
EGFR APBB2
EGFR SH2B1
EGFR CISH
EGFR ANKRD13A
EGFR DNAJA3
EGFR IGKC
EGFR TUBB6
EGFR CSE1L
EGFR AP1S1
EGFR IPO9
EGFR ATXN10
EGFR KPNB1
EGFR CIP2A
