MAP2K4 BLNK
SDCBP ARFIP2
SDCBP SET
SDCBP RRS1
SDCBP KCTD1
SDCBP PPARA
SDCBP SUB1
SDCBP REL
SDCBP CTBP2
SDCBP ZBTB8A
SDCBP CALM3
SDCBP CTNNA1
SDCBP TRAF6
SDCBP WASL
SDCBP HNRNPC
SDCBP PDCD6IP
SDCBP DNM2
SDCBP LDOC1
SDCBP SMARCA2
SDCBP CDKN2D
SDCBP UBE2K
SDCBP CLK2
SDCBP TNKS
SDCBP HUS1
SDCBP CDH1
SDCBP TCF4
SDCBP LDHB
SDCBP ELAVL1
SDCBP MRFAP1
SDCBP TRIM27
SDCBP OPTN
SDCBP FLAD1
SDCBP CEP55
SDCBP MTUS2
SDCBP NF2
SDCBP SNX1
SDCBP TLE5
SDCBP ABI2
SDCBP MRFAP1L1
SDCBP CRX
SDCBP TEKT1
SDCBP WASHC1
SDCBP FHL3
SDCBP DTNBP1
SDCBP CALM1
SDCBP PTPRJ
SDCBP CAV2
SDCBP TGFA
SDCBP RAB5A
SDCBP UBE2A
SDCBP RBM39
SDCBP FADD
SDCBP FTH1
SDCBP NECAB2
SDCBP PNMA1
SDCBP GRIK2
SDCBP GRIK1
SDCBP ULK1
SDCBP SDC2
SDCBP EFNB1
SDCBP IL5RA
SDCBP SOX4
SDCBP TDO2
SDCBP CBR3
SDCBP CDA
SDCBP CDC34
SDCBP CLK3
SDCBP CRYAA
SDCBP DCTD
SDCBP FTL
SDCBP HMGB3
SDCBP HOXA1
SDCBP HPRT1
SDCBP HSBP1
SDCBP KRTAP5-9
SDCBP LGALS2
SDCBP PSMC6
SDCBP RNH1
SDCBP SRSF7
SDCBP TRAF5
SDCBP SSNA1
SDCBP SRSF11
SDCBP PDE4DIP
SDCBP ANP32B
SDCBP PNMA2
SDCBP RUNDC3A
SDCBP LSM6
SDCBP MAPRE3
SDCBP TRIM32
SDCBP TNFAIP8
SDCBP OSTF1
SDCBP WASHC3
SDCBP CUTC
SDCBP ZCCHC17
SDCBP LZTFL1
SDCBP ROPN1
SDCBP KCTD9
SDCBP NKAPD1
SDCBP NAGK
SDCBP SEPTIN3
SDCBP EIF5A2
SDCBP HOMEZ
SDCBP KLHL12
SDCBP RIC8A
SDCBP CDCP1
SDCBP NADK
SDCBP PYCR3
SDCBP C11orf68
SDCBP EIF1AD
SDCBP TIFA
SDCBP REEP6
SDCBP CMTM5
SDCBP FAM9B
SDCBP KCTD6
SDCBP KHDRBS2
SDCBP GPATCH11
SDCBP INO80E
SDCBP SREK1IP1
SDCBP CT45A3
SDCBP TMEM239
SDCBP PSME2
SDCBP DRAP1
SDCBP RPL22
SDCBP RTN1
SDCBP SDC1
SDCBP TFCP2
SDCBP PSTPIP1
SDCBP ZCCHC10
SDCBP MBD3
SDCBP IHO1
SDCBP CALCOCO2
SDCBP PRPF40A
SDCBP FAM118B
SDCBP KRTAP10-3
SDCBP EAF1
SDCBP MID2
SDCBP MAD2L1
SDCBP ZBTB14
SDCBP STX1A
SDCBP CGGBP1
SDCBP GRIA4
SDCBP THG1L
SDCBP FOXP2
SDCBP SLC6A5
SDCBP C1orf109
SDCBP CADM1
SDCBP CDIPT
SDCBP CT45A5
SDCBP GRM3
SDCBP PTS
SDCBP SDCBP
SDCBP TRIM38
SDCBP GNMT
SDCBP DMC1
SDCBP SULT1B1
SDCBP PUF60
SDCBP NT5C2
SDCBP GRIA2
SDCBP CCDC102B
SDCBP CD6
SDCBP FAM118A
SDCBP PRR13
SDCBP APIP
SDCBP RP9P
SDCBP MED4
SDCBP EFNB2
SDCBP KCNH1
SDCBP PRPF38A
SDCBP SDCBP2
SDCBP PHC2
SDCBP GRIA3
SDCBP COX4I1
SDCBP NFASC
SDCBP KLHL2
SDCBP BCL2L15
SDCBP ENOX1
SDCBP ENTR1
SDCBP EPHB2
SDCBP TKFC
SDCBP TEC
SDCBP IKZF1
SDCBP CADPS
SDCBP GRIA1
SDCBP DCTPP1
SDCBP WDR91
SDCBP GRIK3
SDCBP EDARADD
SDCBP ERICH2
SDCBP ANKRD40
SDCBP SDC4
SDCBP KRTAP10-7
SDCBP NOTCH2NLA
SDCBP MEOX2
SDCBP MEOX1
SDCBP PIH1D2
SDCBP TRIP13
SDCBP ARL6IP1
SDCBP YIF1A
SDCBP RPRM
SDCBP HOMER3
SDCBP PFDN5
SDCBP RPRD1A
SDCBP POLR2J
SDCBP MYLIP
SDCBP SYPL1
SDCBP ZRANB1
SDCBP SCML1
SDCBP HHAT
SDCBP GSC2
SDCBP ZMYND12
SDCBP MGLL
SDCBP SNRPA
SDCBP ZNF343
SDCBP DERL3
SDCBP SYNGR1
SDCBP SCG3
SDCBP LEPROTL1
SDCBP CABP5
SDCBP UBE2R2
SDCBP ODAM
SDCBP CHIC2
SDCBP GSG1
SDCBP GOLT1B
SDCBP SRSF3
SDCBP FHL5
SDCBP ID3
SDCBP TCF21
SDCBP OCM
SDCBP HOXA7
SDCBP KCNJ2
SDCBP MATN4
SDCBP NAPB
SDCBP RALY
SDCBP CEP85
SDCBP CHMP1A
SDCBP PDLIM4
SDCBP EIF5A
SDCBP MKRN1
SDCBP KATNBL1
SDCBP PHF11
SDCBP C1orf35
SDCBP CALM2
SDCBP CTDSP1
SDCBP ZNF660
SDCBP N4BP3
SDCBP DYNLT1
SDCBP HMBOX1
SDCBP MINDY3
SDCBP GGPS1
SDCBP RPIA
SDCBP LURAP1L
SDCBP PDE9A
SDCBP HSF2BP
SDCBP S100B
SDCBP PCYT1A
SDCBP POLR3K
SDCBP PDZK1IP1
SDCBP RP9
SDCBP GKAP1
SDCBP BEND7
SDCBP PCBD1
SDCBP ANKRD33
SDCBP IGFBP6
SDCBP MOBP
SDCBP HEXIM2
SDCBP SLC50A1
SDCBP LDB2
SDCBP ZNF768
SDCBP UBB
SDCBP RRM2
SDCBP C2CD2L
SDCBP CCDC106
SDCBP EXOSC4
SDCBP SSC5D
SDCBP SEPTIN1
SDCBP FAM9A
SDCBP TNFAIP8L3
SDCBP EMILIN3
SDCBP TRARG1
SDCBP KRT14
SDCBP TMEM17
SDCBP CYHR1
SDCBP ZSCAN23
SDCBP TMCO2
SDCBP SPANXN3
SDCBP ANKRD36B
SDCBP RPS26
SDCBP ZNF485
SDCBP DDX39B
SDCBP SFT2D1
SDCBP SYS1
SDCBP TSN
SDCBP RTL8B
SDCBP GRXCR1
SDCBP KRTAP1-5
SDCBP KRTAP1-3
SDCBP GET4
SDCBP CT45A1
SDCBP CT45A10
SDCBP CRYAA2
SDCBP PSMB3
ELMO1 RAC1
ELMO1 APBB1
ELMO1 DOCK1
ELMO1 DOCK4
ELMO1 CDC27
ELMO1 HCK
ELMO1 ARL4A
ELMO1 DOCK3
ELMO1 DOCK5
ELMO1 FGD1
ELMO1 RHOG
ARHGEF6 ARRB2
ARHGEF6 MDM2
ARHGEF6 RAC1
ARHGEF6 YWHAG
ARHGEF6 SMAD3
ARHGEF6 SMAD2
ARHGEF6 SMAD1
ARHGEF6 NUTM1
ARHGEF6 ADAM15
ARHGEF6 GIT1
ARHGEF6 PAK1
ARHGEF6 GOLGA2
ARHGEF6 CAPNS1
ARHGEF6 CDC42
ARHGEF6 PAK2
ARHGEF6 PAK3
ARHGEF6 ARHGEF7
ARHGEF6 GIT2
ARHGEF6 TGFBR1
ARHGEF6 TGFBR2
ARHGEF6 BMPR1B
ARHGEF6 PARVB
ARHGEF6 ZNF580
ARHGEF6 TMEM108
ARHGEF6 SH2D1A
ARHGEF6 EPHB2
ARHGEF6 PKLR
ARHGEF6 GPRASP2
ARHGEF6 CCDC33
